Refined_Formal_Name,Original-QID,Original-Refined_Category,Original-Status/Notes,Second-Query_QID,Second-Query_Label,Second-Query_Description,Second-Query_Logic
Costaguti (Marchese),,Person,[Category Fix] 原文误标为 Work。,,,,No results found
Costanza Magalotti,Q108433434,Person,[Validation] 贵族。,Q108433434,Costanza Magalotti,25 Jan 1575 Firenze - 15 Aug 1644 Roma,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Costanza Piccolomini d'Aragona,Q63196610,Person,[Validation] 贵族/Bonarelli夫人? 需区分 Costanza Bonarelli (Bernini的情人) 和此人。Costanza Piccolomini 是 Amalfi公爵夫人。,Q63196610,Costanza Piccolomini d'Aragona,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Council of Ten,Q547077,Organization,[Category Fix] 原文误标为 Place。威尼斯十人委员会。,Q547077,Council of Ten,Venice,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Count Rosenberg,,Person,可能是 Orsini-Rosenberg 家族成员。,,,,No results found
Count Tassis,,Person,图恩与塔克西斯家族成员（如在威尼斯的邮政总长）。,,,,No results found
Count Waldstein,,Person,瓦尔德施泰因家族成员。,,,,No results found
Count of Bolagno,,Person,[Category Fix] 原文误标为 Work。,,,,No results found
Count of Monterrey,,Person,西班牙贵族/那不勒斯总督。,,,,No results found
Count-Duke of Olivares,,Person,西班牙首相奥利瓦雷斯伯爵-公爵。,Q59281322,Count-Duke of Olivares,Spanish nobility title,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Couvent des Augustins Déchaussés,,Place,[Validation] 巴黎修道院 (Petits-Pères)。,,,,No results found
Cremonese School,,Group,[Validation] 克雷莫纳画派。,,,,No results found
Crete,Q34374,Place,[Validation] 地名。,Q958049,Crete,"city in Saline County, Nebraska, United States","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Creusa imploring Aeneas,,Work,[Validation] 绘画主题。,,,,No results found
Cristoforo Dall'Acqua,Q5186480,Person,[Validation] 维琴察版画家。,Q5186480,Cristoforo Dall'Acqua,Italian engraver and painter (1734-1787),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Cristoforo Ivanovich,Q3246893,Person,[Validation] 威尼斯歌剧史学家。,Q3246893,Cristoforo Ivanovich,Venetian historian and librettist of Serb origin,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Cristoforo Monari,,Person,晚期巴洛克雕塑家 (Cristoforo/Cristofano)。,Q1081139,Cristoforo Munari,Italian painter (1667-1720),"High Confidence - Score: 114.1 (Sim: 0.94, Cat: Match)"
Cristoforo Munari,Q1081139,Person,[Validation] 静物画家。,Q1081139,Cristoforo Munari,Italian painter (1667-1720),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Cristoforo Roncalli,Q1091136,Person,别名 Il Pomarancio。,Q1091136,Cristoforo Roncalli,Italian painter (c.1553-1626),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Cristoforo Roncalli (Il Pomarancio),,Person,[Validation] 画家。,,,,No results found
Cristoforo Tencalla,,Person,提契诺壁画家。,,,,No results found
Cristoforo Tentori,Q18604253,Person,[Validation] 威尼斯历史学家。,Q18604253,Cristoforo Tentori,abbot and historian from Italy (1745-1810),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Cristoforo dall'Acqua,,Person,[Reconstruction] 名字倒装复原。,Q5186480,Cristoforo Dall'Acqua,Italian engraver and painter (1734-1787),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Crossing of the Red Sea,,Work,[Validation] 绘画主题。,Q27980958,Crossing of the Red Sea,painting by Cornelis de Wael,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Crucifixion,,Work,[Validation] 绘画主题。,Q20087444,Crucifixion,painting by anonymous,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Crucifixion of St. Peter,,Work,[Validation] 绘画主题 (Guido Reni / Caravaggio)。,Q3698229,Crucifixion of St. Peter,painting by Luca Giordano,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Crucifixion with the Madonna,,Work,[Validation] 绘画主题。,Q134721218,Crucifixion with the Madonna and St. John.,painting by Dario di Giovanni,"High Confidence - Score: 100.0 (Sim: 0.80, Cat: Match)"
Customs duty on pictures,,Concept,[Validation] 经济/法律概念。,,,,No results found
Cybele,Q188236,Person (Myth),[Validation] 女神。,Q70392029,Cybele,female given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Cyril Davenport,,Person,[Validation] 英国艺术作家/图书管理员。,Q16523192,Cyril James Humphries Davenport,British bibliographic historian,"Medium Confidence - Score: 65.2 (Sim: 0.65, Cat: Neutral)"
César d'Estrées,,Person,[Disambiguation] 法国枢机/外交官 (César) 或其兄 (François Annibal)。驻罗马通常是 César。,Q1150810,César d'Estrées,Catholic cardinal (1628-1714),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
D. P. Walker,,Person,[Validation] 历史学家 (Warburg Institute)。,Q3447176,D. P. Walker,British historian (1914–1985),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Dalmatia,Q528042,Place,[Validation] 达尔马提亚 (威尼斯领地)。,Q5211528,Dalmatia,place in Pennsylvania,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Danaë,,Work,[Validation] 绘画主题 (提香/伦勃朗等)。,Q20000257,Danaë,female given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Dance of Nymphs,,Work,[Validation] 绘画主题。,,,,No results found
Daniele Beltrami,Q61472577,Person,[Validation] 威尼斯经济史学家。,Q61472577,Daniele Beltrami,author (20th century),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Daniele Concina,Q3701909,Person,[Validation] 多明我会神学家。,Q112485041,Daniele Concina,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Daniele Dolfin,Q3015062,Person,"[Validation] 威尼斯贵族/枢机主教 (需区分 Daniele II, III, IV)。",Q3014934,Daniele Dolfin,Italian cardinal (1688–1762),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Daniele Dolfin (1653-1704),,Person,[Category Fix] 原文误标为 Work。,,,,No results found
Daniele Dolfin III,,Person,[Validation] 威尼斯大使。,,,,No results found
Daniele Dolfin IV,Q3014934,Person,[Validation] 威尼斯贵族/大使。 | [Validation] 威尼斯贵族。,,,,No results found
Daniele Farsetti,,Person,[Reconstruction] 威尼斯赞助人/作家。,Q52154232,Daniele Farsetti,(1725-1787),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Daniele Florio,Q55227681,Person,[Validation] 乌迪内诗人。,Q55227681,Daniele Florio,(1710-1789),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Daniello Bartoli,Q2283604,Person,[Validation] 耶稣会作家/历史学家。,Q2283604,Daniello Bartoli,Italian Jesuit cleric-scientist,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Dante Alighieri,Q1067,Person,[Validation] 但丁。,Q1067,Dante Alighieri,"Florentine poet, writer, and philosopher (c.?1265–1321)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Daphnis,Q741627,Person (Myth),[Validation] 神话人物。,Q135361,Daphnis,genus of insects,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Daphnis and Chloe,,Work,[Category Fix] 原文误标为 Concept。朗格斯的小说或绘画主题。,Q318333,Daphnis and Chloe,ancient Greek novel by Longus,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
David,Q766487,Person/Work,[Ambiguity] 圣经人物大卫，或米开朗基罗/贝尼尼雕塑。根据 E22 标记，应为 Work (雕塑/画作)。,Q18057751,David,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
David Teniers the Younger,Q335022,Person,[Validation] 佛兰芒画家。 | 佛兰芒画家。,Q335022,David Teniers the Younger,Flemish Baroque painter (1610–1690),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
David de Haen,Q5241470,Person,[Validation] 荷兰画家 (Caravaggisti)。,Q5241470,David de Haen,Dutch painter active in Rome (1585-1622),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
David with the Head of Goliath,,Work,[Validation] 绘画主题 (卡拉瓦乔等)。,Q50911469,David with the Head of Goliath,painting by Bernardo Strozzi (Szépm?vészeti 53.480),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Death,,Concept/Person (Allegory),[Validation] 寓意人物或概念。,Q4,death,permanent cessation of vital functions,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Death of Abel,,Work,[Validation] 绘画主题。,Q111987308,Death of Abel,painting by Lazzaro Pisani,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Death of Cleopatra,,Work,[Validation] 绘画主题。,Q135892996,Death of Cleopatra,painting by Denys Calvaert,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Death of Dido,Q55831023,Work,[Validation] 绘画主题。,Q55831023,Death of Dido,painting by Guercino,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Death of Regulus,,Work,[Category Fix] Salvator Rosa 的画作。,,,,No results found
Death of Seneca,Q3863245,Work,[Validation] 绘画主题。,Q3863245,Death of Seneca,painting by Luca Giordano (Louvre),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Death of St. Francis Xavier,,Work,[Validation] 绘画主题。,,,,No results found
Death of Wallenstein,,Work,[Validation] 绘画主题。,Q1742540,Wallenstein's Death,five-act play written by Friedrich Schiller,"Low Confidence - Score: 56.4 (Sim: 0.56, Cat: Neutral)"
Death of the Virgin,Q597114,Work,[Validation] 绘画主题 (卡拉瓦乔等)。,Q597114,Death of the Virgin,painting by Caravaggio in the Louvre,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Decio Azzolino,Q1181870,Person,[Disambiguation] 德西奥·阿佐利诺枢机。 | [Validation] 枢机主教。,Q1181870,Decio Azzolino,Catholic cardinal (1623-1689),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Decorations for St. Augustine Church,,Work,[Validation] 装饰工程。,,,,No results found
Decorative Paintings (Pisa),,Work,[Validation] 装饰绘画。,,,,No results found
Dedicatory Frontispiece,,Work,[Validation] 书籍/版画卷首插图。,,,,No results found
Deianira and Nessus,,Work,[Validation] 绘画主题 (Guido Reni等)。,Q111638991,Deianira and Nessus,painting by Arnold B?cklin (1827-1901),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Della Lena (Family/Person),,Person,[Context] 可能是 Innocenzo della Lena (威尼斯作家) 或家族。,,,,No results found
Democritus,Q41980,Person,[Validation] 哲学家。,Q10882454,Democritus,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Denis Diderot,Q448,Person,[Validation] 百科全书派哲学家。,Q62615724,Denis Diderot,"German article in Die Gartenlaube, 1884, no. 30","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Denis Mahon,Q3705445,Person,[Validation] 艺术史学家/收藏家 (Baroque specialist)。,Q76093327,Denis Mahon,Peerage person ID=525793,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Denis Pétau,Q1187608,Person,(Dionysius Petavius) 耶稣会神学家。,Q1187608,Denis Pétau,French Jesuit theologian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Denis Pétau (Dionysius Petavius),,Person,[Validation] 耶稣会神学家。,,,,No results found
Denis Xavier Clément,,Person,[Validation] 法国传教士/作家。,Q84562933,Denis-Xavier Clément,,"High Confidence - Score: 95.0 (Sim: 0.95, Cat: Neutral)"
Design for Sant'Andrea al Quirinale,,Work,[Validation] 建筑设计图。,,,,No results found
Design for St. Peter's Square,,Work,[Validation] 贝尼尼设计图。,,,,No results found
Detlef Heikamp,Q23562036,Person,[Validation] 艺术史学家。,Q23562036,Detlef Heikamp,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Detroit Institute of Arts,Q1201549,Place/Organization,[Validation] 博物馆。,Q1201549,Detroit Institute of Arts,"art museum in Detroit, Michigan","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Devolution of Urbino to the Papacy,,Event,1631年乌尔比诺归入教皇国事件。,,,,No results found
Diana,Q132543,Person (Myth),[Validation] 狩猎女神。,Q645412,Diana,female given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Diana and Actaeon,,Work,[Validation] 绘画主题 (提香等)。,Q2528177,Diana and Actaeon,painting by Titian,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Diana and Actaeon (Bagnoli),,Work,[Validation] 特指Bagnoli别墅的壁画/画作。,,,,No results found
Diana and Callisto,,Work,[Validation] 绘画主题。,Q3706769,Diana and Callisto,painting by Peter Paul Rubens,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Diana and Endymion,,Work,[Validation] 绘画主题。,Q106776243,Diana and Endymion,painting by Sebastiano Ricci,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Diana and her Nymphs,Q26038063,Work,[Validation] 绘画主题。,Q32234,Diana and her Nymphs,painting by Johannes Vermeer,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Dido,Q905162,Person (Myth),[Validation] 迦太基女王。,Q202550,Dido,English singer and songwriter (born 1971),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Diego Velázquez,Q297,Person,[Validation] 西班牙画家。 | 委拉斯开兹。,Q297,Diego Velázquez,Spanish painter (1599-1660),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Diego Zannandreis,Q85861816,Person,[Validation] 维罗纳艺术传记作家。,Q85861816,Diego Zannandreis,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Diffusion of Neapolitan painting,,Concept,[Category Fix] 艺术史研究主题。,,,,No results found
Diocletian's Palace,Q322287,Place,[Validation] 斯普利特古迹 (Adam测绘)。,Q322287,Diocletian's Palace,ancient palace built for the Roman emperor Diocletian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Diogenes Searching for an Honest Man,Q75194631,Work,[Validation] 绘画主题 (Castiglione等)。,Q114719834,Diogenes searching for an honest man,painting studio of Jacques Jordaens,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Dionisio Dolfin,Q3708533,Person,[Validation] 乌迪内大主教/Aquileia宗主教。,Q3708533,Dionisio Dolfin,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Dirk Helmbreker,,Person,[OCR Fix] 名字被错误拆分（Helm Breaker -> Helmbreker），佛兰芒画家。 | [Reconstruction] 佛兰芒画家。,Q576572,Dirck Helmbreker,Dutch painter (1633-1696),"High Confidence - Score: 116.8 (Sim: 0.97, Cat: Match)"
Dirk van Ameyden,,Person,[Validation] 尼德兰/罗马学者 (Dirk van Ameyden)。,Q3983865,Dirk Ameyden,Italian poet and historian,"Medium Confidence - Score: 85.7 (Sim: 0.86, Cat: Neutral)"
Discalced Carmelites,,Group,[Validation] 跣足加尔默罗会。,Q11739797,Discalced Carmelites Monastery in Zawoja,,"Medium Confidence - Score: 66.7 (Sim: 0.67, Cat: Neutral)"
Divine Love Conquering Earthly Love,Q113753132,Work,[Validation] 绘画主题 (Baglione)。,Q113753132,Divine Love Conquering Earthly Love (Baglione),painting by Giovanni Baglione,"High Confidence - Score: 106.4 (Sim: 0.86, Cat: Match)"
Divine Right of Kings,,Concept,[Validation] 政治概念。,Q839452,divine right of kings,political and religious doctrine of the legitimacy of monarchs,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Divine Virtues,,Work,[Validation] 绘画/雕塑主题。,,,,No results found
Doge's Palace (Palazzo Ducale),,Place,[Validation] 威尼斯总督宫。,,,,No results found
Doge's Palace (Venice),,Place,[Category Fix] 威尼斯总督宫（最常见指代，除非上下文指曼托瓦）。,Q21161872,Doge's Palace (Venice) - Capitals,,"Medium Confidence - Score: 80.0 (Sim: 0.80, Cat: Neutral)"
Dolfin (Family),,Group,[Validation] 威尼斯家族。,,,,No results found
Dome Frescoes (Sant'Agnese in Agone),,Work,[Validation] 罗马教堂壁画 (Ciro Ferri/Corrado Giaquinto?)。实际上是 Ciro Ferri 和 Baciccio 参与。,,,,No results found
Domenichino,,Person,[Validation] 博洛尼亚画家。 | [Validation] 多梅尼基诺。,Q320118,Domenichino,Italian painter (1581–1641),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Bernini,Q2338440,Person,[Validation] 贝尼尼之子/传记作者。,Q2338440,Domenico Bernini,Italian 17th-century historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Domenico Brugieri,,Person,[OCR Fix] 卢卡画家 (Domenico Brugieri/Brugieri)。,Q16240592,Giovanni Domenico Brugieri,Italian painter (1678-1744),"High Confidence - Score: 99.1 (Sim: 0.79, Cat: Match)"
Domenico Carutti,Q3712948,Person,[Validation] 历史学家。,Q3712948,Domenico Carutti,"historian, diplomat and politician from Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Domenico Cerato,Q3712960,Person,[Disambiguation] 帕多瓦建筑师 (Abate Cerato)。 | [Validation] 建筑师。,Q3712960,Domenico Cerato,Italian architect (1715-1792),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Domenico Darmanno,,Person,"[Check Original] 极生僻。可能是 ""Domenico D'Arminio""? 或者误拼。待定。",,,,No results found
Domenico Fedini,,Person,[Reconstruction] 18世纪佛罗伦萨/罗马神职人员/作家。,,,,No results found
Domenico Fetti,Q551695,Person,[Reconstruction] 画家。 | [Validation] 画家。,Q551695,Domenico Fetti,Italian painter (c.1589–1623),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Fontana,Q336806,Person,[Validation] 建筑师。,Q66624849,Domenico Fontana,"German article in Die Gartenlaube, 1854, no. 28, 29","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Gargiulo (Micco Spadaro),,Person,[Validation] 那不勒斯画家。,,,,No results found
Domenico Ginnasi,Q1237172,Person,[Disambiguation] 枢机主教。 | [Validation] 枢机主教。,Q1237172,Domenico Ginnasi,Italian cardinal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Domenico Guidi,Q937081,Person,[Validation] 雕塑家。,Q937081,Domenico Guidi,Italian Baroque sculptor (1625-1701),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Domenico Lionati da Fanano,,Person,"[OCR Fix/Reconstruction] 极可能是 ""Domenico Lionati"" 或 ""Lelonotti"" (罕见)。Fanano 是地名。",,,,No results found
Domenico Lovisa,Q19569565,Person,[Validation] 威尼斯出版商 (Il Gran Teatro di Venezia)。,Q19569565,Domenico Lovisa,"Italian painter and publisher, ca. 1690–ca. 1750 (1690–1750)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Maria Fratta,Q5290109,Person,[Reconstruction] 博洛尼亚版画家。 | [Validation] 博洛尼亚版画家。,Q5290109,Domenico Maria Fratta,Italian painter and draughtsman (1696-1763),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Maria Viani,Q5290110,Person,[Validation] 博洛尼亚画家。,Q5290110,Domenico Maria Viani,Italian painter (1668-1711),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Martinelli,Q685236,Person,[Validation] 建筑师 (Lucca/Vienna)。,Q685236,Domenico Martinelli,Italian architect (1650-1718),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Domenico Michelessi,Q5986198,Person,[Validation] 作家。,Q5986198,Domenico Michelessi,Italian writer,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Domenico Parodi,Q16853938,Person,[Validation] 热那亚画家/雕塑家。,Q16853938,Domenico Parodi,Italian painter and sculptor (1672-1742),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Passignano,Q966655,Person,(Domenico Cresti) 佛罗伦萨画家。 | [Validation] 画家。,Q966655,Domenico Passignano,painter from Italy (1559–1638),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Piola,Q1054362,Person,[Validation] 热那亚画家。,Q1054362,Domenico Piola,Italian painter (1627-1703),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Pompeati,,Person,,,,,No results found
Domenico Riccio (Il Brusasorci),,Person,[Validation] 维罗纳画家。,,,,No results found
Domenico Rossi,Q60335720,Person,[Validation] 威尼斯建筑师。,Q108446764,Domenico Rossi,bishop of the Roman Catholic Church,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Valeriani,Q20203313,Person,[Validation] 威尼斯画家 (Perspectivist)。,Q20203313,Domenico Valeriani,Italian painter,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Viola,Q3034775,Person,[Validation] 那不勒斯画家。,Q3034775,Domenico Viola,painter (1610-1696),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Zanetti,,Person,威尼斯画家（活跃于德国）。,Q1237287,Domenico Zanetti,Italian painter (1694-1712),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico and Giuseppe Valeriani,,Person,威尼斯画家兄弟 (透视法/舞台设计)。,,,,No results found
Domenico da Isnello,,Person,[Validation] 建筑师/工程师。,,,,No results found
Dominicans,Q131479,Group,[Validation] 多明我会。,Q3247924,Dominicans,citizens or residents of the Dominican Republic,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Dominique Vivant, Baron Denon",,Person,[Full Name] 卢浮宫首任馆长/艺术家。,Q468618,Vivant Denon,"French artist, writer, diplomat, author, and archaeologist (1747-1825)","Medium Confidence - Score: 78.5 (Sim: 0.59, Cat: Match)"
Donald Posner,Q18934914,Person,[Validation] 艺术史学家。,Q18934914,Donald Posner,art historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Donato Bramante,,Person,[Reconstruction] 建筑师。,Q7793,Donato Bramante,Italian architect and painter (1444–1514),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Donato Creti,Q2340302,Person,[Validation] 博洛尼亚画家。,Q2340302,Donato Creti,Italian painter (1671-1749),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Dora Coggiola,Q104844536,Person,[Validation] 图书馆员/艺术作者 (20世纪)。,Q104844536,Dora Coggiola,Italian librarian (1917-1986),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Dosso Dossi,Q356777,Person,[Validation] 费拉拉画家。,Q356777,Dosso Dossi,Italian painter; (c.1490-1542),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
"Douglas Hamilton, 8th Duke of Hamilton",,Person,[Disambiguation] 汉密尔顿公爵。,Q1252199,"Douglas Hamilton, 8th Duke of Hamilton",British noble (1756-1799),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Drawings of Sagredo Family Members,,Work,[Validation] 素描集。,,,,No results found
Dream of St Joseph,,Work,[Validation] 绘画主题。,,,,No results found
Dresden,,Place,[Validation] 城市。,Q1731,Dresden,capital city of the Free State of Saxony in Germany,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Drunken Silenus,Q17652393,Work,[Validation] 绘画主题 (Rubens/Van Dyck)。,Q3960488,Drunken Silenus,painting by Anthony van Dyck,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Duchess of Bagnara,,Person,[Validation] 贵族头衔 (Ruffo家族)。,,,,No results found
Duchess of Savoy,,Person,泛指，需语境（如 Anne Marie d'Orléans）。,,,,No results found
Duel between Aeneas and Mezentius,Q110872609,Work,[Validation] 绘画主题。,Q110872609,Duel between Aeneas and Mezentius,painting by Gregorio Lazzarini made for Raimondo Buonaccorsi and preserved in the Civic Museums of Palazzo Buonaccorsi in Macerata,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Duke of Devonshire,,Person,[Validation] 英国贵族 (Chatsworth主人)。,Q541098,Duke of Devonshire,title in the Peerage of England,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Duke of Lorraine,,Person,"[Ambiguity] 需区分 (Charles V, Leopold, etc.)。",Q21096112,Duke of Lorraine,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Duke of Manchester,,Person,"[Ambiguity] 可能是 1st Duke (Charles Montagu) 或 4th Duke (George Montagu)。结合 Grand Tour, 多指 4th Duke。",Q302545,Duke of Manchester,title in the Peerage of Great Britain,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Duke of Modena,,Person,摩德纳公爵（通常指 Este 家族）。,Q715243,"Francesco II d'Este, Duke of Modena",Italian noble (1660-1694),"Low Confidence - Score: 57.1 (Sim: 0.57, Cat: Neutral)"
Duke of Richmond,,Person,参见 Lord March (Charles Gordon-Lennox)。,Q1264599,Duke of Richmond,peer of the realm of England,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Dukes of Parma,,Person,帕尔马公爵（Farnese/Bourbon家族）。,Q390311,liste of dukes of Parma,Wikimedia list article,"Medium Confidence - Score: 75.7 (Sim: 0.76, Cat: Neutral)"
Dulwich,,Place,"[OCR Fix] ""Didwich"" -> ""Dulwich"" (Dulwich Picture Gallery)。",Q146766,Dulwich,"district in the London Borough of Southwark, England","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Duplex Intercessio,,Work/Concept,[Validation] 双重代祷 (绘画神学主题)。,,,,No results found
Dutch artists,,Group,[Validation] 艺术家群体。,,,,No results found
Dux (Duchcov),,Place,[Validation] 捷克地名 (卡萨诺瓦晚年居住地)。,,,,No results found
Dwight C. Miller,,Person,现代艺术史学家（博洛尼亚画派专家）。,,,,No results found
Düsseldorf,,Place,[Validation] 城市。,Q1718,Düsseldorf,capital city of the German federated state of North Rhine-Westphalia,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Earl of Carlisle,,Person,[Validation] 英国贵族头衔。,Q2626440,Earl of Carlisle,Title in the Peerage of England,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Earl of Dartmouth,,Person,[Validation] 英国贵族。,Q5326247,Earl of Dartmouth,title in the Peerage of Great Britain,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Earl of Halifax,,Person,[Validation] 英国贵族 (Charles Montagu)。,Q1277292,Earl of Halifax,nobility title,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Earl of Tankerville,,Person,查尔斯·贝内特（Charles Bennet）等。,Q5326378,Earl of Tankerville,English and British title of nobility,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ecstasy of Saint Teresa,Q1333433,Work,[Category Fix] 圣特蕾莎的狂喜（或相关主题）。 | [Validation] 贝尼尼雕塑。,Q1333433,Ecstasy of Saint Teresa,sculpture by Gian Lorenzo Bernini,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Edgar Wind,Q72294,Person,[Validation] 艺术史学家。,Q72294,Edgar Wind,German-born British interdisciplinary art historian,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Edgar de Vaes,,Person,[Check Original] 可能是人名或拼写错误。,,,,No results found
