Refined_Formal_Name,QID,Refined_Category,Status/Notes
Elena Bassi,Q3721387,Person,[Validation] 艺术史学家 (Canova/Venice)。
Elena Crinò,R41,Person,[Validation] 学者 (现代)。
Eleonora Zambeccari,R42,Person,[Category Fix] 原文误标为 Man-Made Object。博洛尼亚贵族。 | [Validation] 博洛尼亚贵族。
Elijah,Q133507,Person,[Validation] 先知。
Elijah Taken Up in a Chariot of Fire,,Work,[Validation] 绘画主题。
Elisa Carandini,,Person,[Category Fix] 原文误标为 Work。
Elisabeth Dhanens,Q18346470,Person,[Validation] 艺术史学家 (Van Eyck专家)。
Elisabetta Antoniazzi Rossi,,Person,"[OCR Fix] ""Elizabetta"" -> ""Elisabetta""。学者。"
Elizabeth Du Gué Trapier,,Person,[Validation] 艺术史学家 (Hispanic Society)。
"Elizabeth Felton, Countess of Bristol",,Person,[Disambiguation] 赫维勋爵的妻子。
Elizabeth Yates,Q4990813,Person,[Validation] 演员/作家 (可能指同名者，需上下文)。
Ellis Waterhouse,Q3051533,Person,[Validation] 艺术史学家。 | 英国艺术史学家。
Elpidio Benedetti,Q60628565,Person,[Validation] 罗马的法国代理人/经纪人。
Emil Kauffmann,Q31789636,Person,[Validation] 音乐家/艺术爱好者 (Angelica Kauffman父亲?)。需区分 Emil Kaufmann (建筑史学家) 或 Friedrich Kauffmann。应为 Emil Kaufmann (1891–1953) 建筑史学家。
Emilia-Romagna,,Place,[Validation] 意大利大区。
Emilio Bonomelli,Q93270100,Person,[Validation] 教皇宫廷官员 (Castel Gandolfo)。
Emilio De Tipaldo,,Person,[Validation] 传记作家。
Emilio Lavagnino,Q3724437,Person,[Validation] 艺术史学家/策展人。
Emilio Morpurgo,Q3724468,Person,[Validation] 帕多瓦统计学家/政治家。
"Emily Temple, Viscountess Palmerston",,Person,19世纪英国贵族。 | [Disambiguation] 帕默斯顿夫人。
Emmanuele Antonio Cicogna,Q1338457,Person,[Validation] 威尼斯碑铭学家/历史学家。
Emperor Henry IV Kneeling Before Pope Gregory VII,Q19898046,Work,[Validation] 绘画主题 (Canossa)。
Enea Arnaldi / Lodovico Arnaldi?,,Person,"[Check] 可能是 ""Enea Arnaldi"" (维琴察学者) 或 ""Lodovico Arnaldi"" (贵族)。待定为 Lodovico Arnaldi。"
Enea Silvio Caprara,,Person,[Disambiguation] 奥地利元帅。 | [Disambiguation] 奥地利陆军元帅 (Enea Silvio Caprara)。
English patronage,,Concept,[Validation] 艺术赞助。
Enrico Brol (Author),,Person,"[Check Original] 可能是 ""Enrico Broilo""? 待定。"
Enrico Carusi,Q21207482,Person,[Validation] 梵蒂冈图书馆员/法制史学家。
Enrico Narducci,Q19999223,Person,[Validation] 罗马图书馆员/目录学家。
Enrico Zuccalli,Q124421,Person,[Validation] 建筑师。
Enriqueta Harris,Q3054716,Person,[Validation] 艺术史学家 (Velázquez专家)。
Entrance of Procurator Giorgio Pisani,,Place,"[OCR Fix] ""nell＊ingresso"" -> ""nell'ingresso""。指代具体位置或该处的装饰/铭文。"
Entry of the Count of Colloredo,,Work,[Validation] 卡纳莱托画作。
Enzo Bentivoglio,Q21548348,Person,[Validation] 费拉拉侯爵/赞助人。
Enzo Crea,R47,Person,[Validation] 罗马出版商/学者。
Epicurus,Q43216,Person,[Validation] 哲学家。
Equestrian Statue of Henry IV,A339,Work,[Validation] 巴黎新桥雕塑 (Giambologna/Tacca)。
Equestrian Statue of Louis XIV,Q3497625,Work,[Validation] 贝尼尼/Girardon雕塑。
Ercole Ferrata,Q1348674,Person,[Validation] 罗马巴洛克雕塑家。
Ercole Graziani,,Person,[Validation] 博洛尼亚画家。
Ercole Lelli,Q3056021,Person,[Validation] 解剖蜡像制作师/艺术家。
Ercole Procaccini the Elder,Q3056023,Person,[Validation] 画家。 | 米兰画家（或指 Younger）。
Erminia,Q17324876,Person (Lit),[Validation] 《耶路撒冷的解放》人物。
Ernst Gombrich,Q78504,Person,[Validation] 艺术史学家。
Ernst Zacharias Platner,,Person,(Platner) 莱比锡的《Description of Rome》合著者。
Erwin Panofsky,Q57656,Person,[Validation] 图像学家。
Esau,Q220822,Person,[Validation] 圣经人物。
Este,G125,Place,[Validation] 城镇/家族发源地。
Estella Brunetti,R48,Person,[Validation] 艺术史学家。
Esther,A336,Person,[Validation] 圣经人物。
Esther before Ahasuerus,Q26492606,Work,[Validation] 绘画主题。
Et in Arcadia ego,Q15805858,Work,[Category Fix] 普桑画作的临摹/版画。 | [Validation] 普桑/Guercino画作标题。
Etchings of Oriental-style Heads,A431,Work,[Validation] Castiglione 或 Tiepolo 作品。
Eteocles,Q506550,Person (Myth),[Validation] 神话人物。
Eteocles and Polynices,A432,Work,[Validation] 绘画主题。
Euclid,Q8747,Person,[Validation] 古希腊数学家。
Eugene of Savoy,,Person,欧根亲王，著名的将领和收藏家。
Eugène Michaud,Q23806382,Person,[Validation] 历史学家 (19世纪)。
Euphrasian Basilica (Poreč),,Place,[Disambiguation] 波雷奇大教堂。
Europa,A388,Person (Myth),[Category Fix] 原文误标为 Man-Made Object。神话人物。
European scientific societies,G72,Group/Concept,[Category Fix] 原文误标为 Place。
Eusebio Della Lena,Q104804972,Person,[Validation] 威尼斯作家 (18世纪)。
Eustachio Manfredi,Q3541151,Person,[Validation] 天文学家/诗人。
Eustachio Zanotti,Q3735039,Person,[Validation] 天文学家。
Evelina Borea,Q3735302,Person,[Validation] 现代艺术史学家。
Everhard Jabach,Q103934,Person,[Validation] 收藏家 (路易十四赞助)。 | [Validation] 收藏家。
Exhibition of S. Rocco,,Event,[Category Fix] 威尼斯圣罗格大会堂的年度画展。
Ezekiel,Q194064,Person,[Validation] 先知。
Fabia Borroni Salvadori,,Person,[Full Name] 版画研究学者。
Fabio Canal,Q3737627,Person,[Validation] 威尼斯画家。
Fabio Mauroner,Q3737779,Person,[Validation] 20世纪艺术史学家/版画家。
Fabio de Fabiis,R49,Person,[Validation] 罗马人物。
Fabio degli Abati Olivieri,Q3063732,Person,[Validation] 枢机主教。
Fabrizio Moretti,Q47542159,Person,[Context] 可能是现代艺术商 (Moretti Fine Art)，也可能指历史人物。鉴于列表多为艺术史相关，可能是前者或其画廊。需确认上下文。
Fabrizio Pignatelli d'Aragona,,Person,[Validation] 贵族 (Monteleone公爵)。
Fabrizio Savelli,,Person,17世纪红衣主教（或 Giulio Savelli）。
Fabrizio Spada,Q1355246,Person,[Validation] 枢机主教。
Fabrizio Tarso,R50,Person,[Validation] 历史人物 (可能与 Spada 家族有关)。
Fabrizio Valguarnera,,Person,[Validation] 17世纪西西里贵族/收藏家 (宝石/画作)。
Facade of Santa Maria del Giglio,,Work,[Validation] 威尼斯教堂立面 (Giuseppe Sardi)。
Faith crushing Idolatry,A433,Work,[Validation] 雕塑/绘画主题 (Theodon等)。
Fame Carrying the Name of Louis XIV...,,Work,[Validation] 绘画主题 (Le Brun等)。
Fame inscribing the glories of Louis XIV...,,Work,[Validation] 绘画主题。
Famiano Strada,Q2531858,Person,[Validation] 耶稣会历史学家。
Fantastical Heads in the Manner of Giorgione,A95,Work,[Validation] 画作/版画描述 (Pietro della Vecchia等)。
Fantasy and reason,,Concept,[Validation] 艺术理论概念。
Farnese (Family),,Group,[Category Fix] 原文误标为 Place。
Fausta Franchini Guelfi,Q111282793,Person,[Validation] 艺术史学家 (Alessandro Magnasco专家)。
Faustina Savorgnan,R51,Person,[Validation] 威尼斯贵族。
Fausto Rughesi,Q124857379,Person,[Validation] 建筑师 (Santa Maria in Vallicella立面)。
Federico Barocci,Q316731,Person,[Validation] 乌尔比诺画家。
Federico Bencovich,,Person,"[OCR Fix] ""Federiko Benkovi?"" -> ""Federico Bencovich"" (Dalmatian painter)。 | [Reconstruction] 达尔马提亚/威尼斯画家。"
Federico Borromeo,Q469171,Person,[Category Fix] 原文误标为 Place。米兰枢机主教/Ambrosiana创建者。
Federico Cervelli,Q1747554,Person,[Validation] 威尼斯画家 (Sebastiano Ricci的老师)。
Federico Cesi,Q322023,Person,[Validation] 猞猁之眼学院创始人。
Federico Correr Lorenzetti,R52,Person,"[Validation] 威尼斯贵族/收藏家? 需核实。可能是误将 ""Correr"" 和 ""Lorenzetti"" (Giulio Lorenzetti, 学者) 混合，或特定人物。"
Federico Zeri,Q1089074,Person,[Validation] 著名艺术史学家。
Federico Zuccari,Q345605,Person,[Validation] 风格主义画家/理论家。 | 风格主义画家。
Federico da Montefeltro,,Person,"[OCR Fix] ""Montefeltre"" -> ""Montefeltro""。乌尔比诺公爵。 | 乌尔比诺公爵。"
Felice Boscarati,,Person,[Reconstruction] 维罗纳画家。 | [Validation] 维罗纳画家。
Felice Brusasorzi,,Person,[Disambiguation] 维罗纳画家。
Felice Salimbeni,Q1402999,Person,"[Validation] 20世纪艺术史学家? 还是误指 Ventura Salimbeni? 或者是 Felice (saint)? 搜索显示 Felice Boscarati 之后有 Salimbeni, 可能是 Ventura Salimbeni 的误拼或混淆。但也有可能是 Felice Salimbeni (Soprano castrato)。结合上下文 ""S_refined""，可能是 Ventura Salimbeni? 待定。更可能是 Ventura Salimbeni。"
Felice Torelli,Q712531,Person,[Validation] 博洛尼亚画家。
Felice da Cantalice,,Person,[Validation] 圣徒。
Felicita Sartori,Q33743656,Person,[Validation] 威尼斯女画家 (Rosalba Carriera学生)。
Ferdinand Boyer,Q62559508,Person,[Validation] 历史学家 (法国对意艺术掠夺)。
Ferdinand Ernst Gabriel von Waldstein,,Person,[Validation] 贝多芬赞助人。
"Ferdinand Maria, Elector of Bavaria",Q60438,Person,[Validation] 巴伐利亚选帝侯。
Ferdinand van den Eynde,Q99237902,Person,[Validation] 佛兰芒/罗马收藏家 (Duquesnoy墓碑)。 | 佛罗伦萨/那不勒斯收藏家。
Ferdinando Caiano,,Person,[Reconstruction] 名字倒装复原。
Ferdinando Carlo Gonzaga,Q714792,Person,[Validation] 曼图亚公爵。
"Ferdinando Carlo Gonzaga, Duke of Mantua",,Person,[Validation] 曼图亚公爵。
Ferdinando Colonna (Prince of Stigliano),,Person,[Validation] 贵族。
Ferdinando Galiani,Q979496,Person,[Reconstruction] 经济学家。 | [Validation] 经济学家/作家 (Abbé Galiani)。
Ferdinando Galli-Bibiena,,Person,[Reconstruction] 建筑师/透视学家。
"Ferdinando Gonzaga, Duke of Mantua",,Person,[Validation] 曼图亚公爵。
Ferdinando I de' Medici,Q297483,Person,[Validation] 托斯卡纳大公。
Ferdinando II de' Medici,,Person,托斯卡纳大公。
Ferdinando Raggi,R53,Person,[Validation] 18世纪建筑师 (Accademia di San Luca)。
Ferdinando Uccelli,,Person,
Ferdinando d'Adda,Q1366303,Person,[Disambiguation] 费迪南多·达达枢机主教。 | [Validation] 枢机主教。
Ferdinando de' Medici,Q465178,Person,[Validation] 同上。
Ferdinando de' Medici (Grand Prince),,Person,"[Disambiguation] 可能是 Ferdinando I, II 或 Great Prince Ferdinando (Grand Tour/Art Patron)。在艺术语境中常指 Grand Prince Ferdinando (1663–1713)。 | [Validation] 美第奇家族大亲王 (Ferdinando III 的孙子，Cosimo III 之子)。"
"Ferdinando de' Medici, Grand Prince of Tuscany",,Person,伟大的费迪南多亲王（Grand Prince），重要的艺术赞助人。
"Fernando Afán de Ribera, 3rd Duke of Alcalá",,Person,[Full Name] 那不勒斯总督/收藏家。
"Fernando Afán de Ribera, duke of Alcalá",,Person,西班牙贵族，那不勒斯总督。
Ferney-Voltaire,,Place,[Validation] 伏尔泰居所。
Ferrante Carli,,Person,"[OCR Fix] ""Carlo"" -> ""Carli"" (17世纪作家/帕尔马宫廷)。"
Ferrara,,Place,[Validation] 城市。
Filippo Baldinucci,Q979574,Person,[Validation] 艺术传记作家。
Filippo Bosdari,Q112228632,Person,[Validation] 博洛尼亚贵族/收藏家。
Filippo Brunelleschi,Q174330,Person,[Validation] 建筑师。
Filippo Clementi,Q15410619,Person,[Validation] 作曲家/人物。
Filippo Colonna,,Person,[Validation] 贵族/帕利亚诺亲王。
Filippo Corsini,Q3745158,Person,[Category Fix] 原文误标为 Work。 | [Validation] 建筑师/贵族。
Filippo Farsetti,Q16556042,Person,[Validation] 威尼斯著名收藏家 (Farsetti Gallery)。
Filippo Gherardi,Q3071896,Person,[Validation] 卢卡画家。
Filippo Juvarra,Q85000,Person,[Validation] 建筑师/舞美设计师。
Filippo Lauri,Q3071902,Person,[Validation] 罗马画家。
Filippo Napoletano,Q601644,Person,[Disambiguation] 菲利波·那波列塔诺。 | [Validation] 风景画家。
Filippo d'Angeli (Filippo Napoletano),,Person,[Validation] 同上。
Filippo della Valle,Q2705609,Person,[Validation] 雕塑家。
Finding of Romulus and Remus,A337,Work,[Validation] 绘画主题。
Fitzwilliam Museum,Q1421440,Place,[Validation] 剑桥博物馆。
Flagstaff / Glacier?,,Place,"[Check Original] 极大概率是OCR错误或数据混淆。""Flagstaff"" 和 ""Glacier"" 似乎与17-18世纪艺术史无关。可能是 ""Galleria""? 待确认。"
Flaminio Corner,A97,Person,[Validation] 威尼斯历史学家 (Churches of Venice)。
Flaminio Scarselli,Q54854824,Person,[Validation] 博洛尼亚学者。
Flavio Chigi,Q368700,Person,[Validation] 枢机主教 (Alexander VII之侄)。
Flavio Chigi (1631-1693),,Person,[Reconstruction] 枢机主教。
Flemish artists in Rome,,Group,[Validation] 艺术家群体 (Bentvueghels等)。
Flight into Egypt,A384,Work,[Validation] 绘画主题。
Flight of Aeneas from Troy,A100,Work,[Validation] 绘画主题。
Flora,A101,Person (Myth),[Validation] 花神。
Florence,,Place,[Validation] 城市。
Florence Cathedral (Duomo),,Place,[Validation] 佛罗伦萨大教堂。
Fondamenta Foscarini,G149,Place,[Validation] 威尼斯街道。
Fondamenta delle Zattere,,Place,威尼斯长堤。
Fondazione Giorgio Cini,,Organization,[Category Fix] 原文误标为 Place。文化机构。
Fondazione Musei Civici di Venezia,,Organization,[Category Fix] 威尼斯市立博物馆群。
Fondo del Gesù,,Organization/Place,"[OCR Fix] ""Fondo di Gesù"" -> ""Fondo del Gesù"" (档案馆藏/耶稣会资产)。"
Fontana dei Quattro Fiumi,,Work,[Category Fix] 原文误标为 Place。贝尼尼作品。
Fordham University,Q130965,Organization,[Category Fix] 误标为 Place。
Foresteria (Guest House),,Place,[Category Fix] 原文误标为 Work。指 Villa Valmarana ai Nani 的贵宾楼 (Foresteria)。
Forlì Cathedral,G64,Place,[Validation] 弗利大教堂。
Fortitude,A413,Person (Allegory),[Category Fix] 原文误标为 Man-Made Object。寓意人物。
Fortune under the control of Virtue,A398,Work,[Validation] 绘画主题。
"Fortune under the control of Virtue, Justice and Peace",A102,Work,[Validation] 绘画主题。
Foscarini (Family),,Group,[Validation] 威尼斯家族。
Four Evangelists,A103,Group/Work,[Validation] 四福音书作者 (主题)。
Fra Bartolomeo,Q7780,Person,[Reconstruction] 佛罗伦萨画家。 | [Validation] 画家。
Fra Galgario,Q1440305,Person,[Validation] 画家。
Fra Galgario (Vittore Ghislandi),,Person,[Validation] 贝加莫肖像画家。
Frances Lehman Loeb Art Center,Q5478803,Place,[Validation] 瓦萨学院美术馆。
Frances Pamela Ann Strickland,Q76180855,Person,[Validation] 人物。
Francesca Bussi,Q109805783,Person,[Category Fix] 原文误标为 Place。罗马人物 (Bussi家族)。
Francesca Flores d'Arcais,,Person,[Validation] 艺术史学家。
Francesco Adriano Ceva,Q3080894,Person,[Disambiguation] 枢机主教。 | [Validation] 枢机主教。
Francesco Albani,,Person,[Category Fix] 原文误标为 Place (E53)。波伦亚派画家。
Francesco Albergati Capacelli,Q371439,Person,[Category Fix] 原文误标为 Place (E53)。剧作家/侯爵。 | [Validation] 剧作家。
Francesco Alberto Salvagnini,Q104731073,Person,[Validation] 18世纪博洛尼亚学者。
Francesco Algarotti,A104,Person,[Category Fix] 原文误标为 Place。威尼斯多面手/鉴赏家。
Francesco Allegrini,Q44101021,Person,[Category Fix] 原文误标为 Place。画家。
Francesco Andrea Grassi,Q3749533,Person,[Validation] 主教。
Francesco Andreosi,R54,Person,[Category Fix] 原文误标为 Place。雕塑家/修复师。
Francesco Angelo Rapaccioli,Q762443,Person,[Validation] 枢机主教。 | 枢机主教，艺术赞助人。
Francesco Angeloni,Q1102576,Person,[Category Fix] 原文误标为 Place。古物学家/Bellori的叔叔。
Francesco Antonio Correr,Q3749550,Person,[Category Fix] 原文误标为 Place。威尼斯宗主教。
Francesco Antonio Vallotti,Q1395790,Person,[Validation] 音乐理论家/作曲家。
Francesco Baratta,,Person,[Category Fix] 原文误标为 Place。雕塑家。 | [Validation] 雕塑家。
Francesco Barberini,Q2662344,Person,[Category Fix] 原文误标为 Work。
Francesco Barberini (1597–1679),,Person,[Category Fix] 原文误标为 Place。 | [Validation] 枢机主教。
Francesco Barberini (Uncle),,Person,[Category Fix] 原文误标为 Place。乌尔班八世的叔叔 (Proto-notary)。
Francesco Bartolozzi,Q734889,Person,[Validation] 版画家。
Francesco Bassi (Il Cremonese),,Person,[Category Fix] 原文误标为 Place。风景画家。 | [Validation] 画家。
Francesco Bertos,Q1440918,Person,[Category Fix] 原文误标为 Place。雕塑家。
Francesco Bordoni,Q13408027,Person,[Category Fix] 原文误标为 Place。雕塑家。
Francesco Borromini,Q123150,Person,[Category Fix] 原文误标为 Place。建筑师。
Francesco Borzone,Q3080999,Person,[Category Fix] 原文误标为 Place。画家 (Bourzon)。
Francesco Botti,Q3749660,Person,[Category Fix] 原文误标为 Place。佛罗伦萨画家。
Francesco Bracciolini,Q322022,Person,[Category Fix] 原文误标为 Place。诗人 (赞颂巴贝里尼)。
Francesco Catalano,R55,Person,[Category Fix] 原文误标为 Place。
Francesco Colonna,,Person,[Validation] 贵族。
Francesco Cozza,Q1133464,Person,[Category Fix] 原文误标为 Place。画家。
Francesco De Mura,,Person,[Category Fix] 原文误标为 Place。那不勒斯画家。
Francesco Di Maria,,Person,[Category Fix] 原文误标为 Place。那不勒斯画家。
Francesco Donato (Doge),,Person,[Disambiguation] 威尼斯总督。
Francesco Drach,R56,Person,[Validation] 可能是 Franz Drach (画商/收藏家)。
Francesco Fanelli,Q3749954,Person,[Category Fix] 原文误标为 Place。雕塑家。
Francesco Fernandi (Imperiali),,Person,[Category Fix] 原文误标为 Place。罗马画家。
Francesco Fontana,Q3749996,Person,[Validation] 建筑师 (Carlo之子)。
Francesco Fontana (Conte),,Person,[Category Fix] 原文误标为 Place。建筑师 Carlo Fontana 之子。
Francesco Fontebasso,Q447991,Person,[Category Fix] 原文误标为 Place。威尼斯画家。
Francesco Girolamo Nappi,,Person,(P.可能是Padre/Frate) 17世纪神职人员/作家，或画家。
Francesco Griseri,R58,Person,[Validation] 建筑师/人物。
Francesco Guardi,Q318769,Person,[Category Fix] 原文误标为 Place。威尼斯画家。
Francesco Guicciardini,Q44601,Person,[Category Fix] 原文误标为 Place。历史学家。
Francesco I d'Este,,Person,[Disambiguation] 摩德纳公爵 (Bernini雕像)。
Francesco Lorenzi,Q3750171,Person,[Category Fix] 原文误标为 Place。维罗纳画家 (Tiepolo学生)。
Francesco Maffei,,Person,[Category Fix] 原文误标为 Place。维琴察画家。
Francesco Maggiotto,Q3080993,Person,[Category Fix] 原文误标为 Place。威尼斯画家 (Domenico Fedeli)。
Francesco Maidalchini,Q3080994,Person,[Category Fix] 原文误标为 Place。枢机主教。
Francesco Mancini,,Person,[Category Fix] 原文误标为 Place。画家。
Francesco Maria I della Rovere,Q555015,Person,[Validation] 乌尔比诺公爵。 | 乌尔比诺公爵。
Francesco Maria Niccolò Gabburri,Q3339580,Person,[Category Fix] 原文误标为 Place。 | [Validation] 佛罗伦萨收藏家/传记作家。
Francesco Maria Richini,Q664225,Person,[Category Fix] 原文误标为 Place。米兰巴洛克建筑师。 | [Validation] 米兰巴洛克建筑师。
Francesco Maria Ruspoli,,Person,[Disambiguation] 亨德尔赞助人。
Francesco Maria Zanotti,Q2739963,Person,[Validation] 博洛尼亚哲学家/作家。 | 博洛尼亚哲学家/作家。
Francesco Maria de' Medici,,Person,[Category Fix] 原文误标为地点。红衣主教，科西莫三世的弟弟。
Francesco Maria del Monte,Q140106,Person,[Category Fix] 原文误标为 Place。著名的卡拉瓦乔赞助人。 | [Validation] 枢机主教 (Caravaggio赞助人)。
Francesco Marucelli,Q3750256,Person,[Category Fix] 原文误标为 Place。收藏家 (Biblioteca Marucelliana)。
Francesco Mengardi,,Person,[OCR Fix/Typo] 原文标为地点且拼写疑似有误，应为画家 Francesco Mengardi。
Francesco Migliori,Q5479459,Person,[Category Fix] 原文误标为 Place。威尼斯画家。
Francesco Milizia,Q323009,Person,[Category Fix] 原文误标为 Place。新古典主义理论家。
Francesco Monti (Bolognese),,Person,[Category Fix] 原文误标为 Place。画家。
Francesco Morosini (Peloponnesiaco),,Person,[Category Fix] 原文误标为 Place。威尼斯总督/将军。
Francesco Novelli,Q3081039,Person,[Category Fix] 原文误标为 Place。威尼斯版画家 (Pietro Antonio之子)。
Francesco Panciatichi,R60,Person,[Category Fix] 原文误标为 Place。佛罗伦萨参议员。 | [Validation] 佛罗伦萨政治家/国务秘书。
Francesco Petrucci,Q27507162,Person,[Validation] 现代艺术史学家 (Bernini/Chigi专家)。
Francesco Pio di Savoia,R72,Person,[Validation] 贵族 (Prince of San Gregorio)。
Francesco Piranesi,Q336028,Person,[Category Fix] 原文误标为 Place。版画家 (Giovanni Battista之子)。
Francesco Polazzo,,Person,[Category Fix] 原文误标为 Place。威尼斯画家。
Francesco Redi,Q311187,Person,[Category Fix] 原文误标为 Place。科学家/诗人。
Francesco Rosichino,,Person,[Disambiguation] 17世纪罗马礼仪官 (Master of Ceremonies)。
Francesco Scaramuccia,R62,Person,[Validation] 罗马/佩鲁贾画家/传记作者 (Luigi Scaramuccia之父?)。通常传记作者是 Luigi Scaramuccia。需确认原文是否指 Luigi 或其父。如果是 17世纪，Luigi 更出名。
Francesco Simonini,Q3081094,Person,[Category Fix] 原文误标为 Place。战斗画家。
Francesco Sleter,Q5479579,Person,[Category Fix] 原文误标为 Place。画家 (在英国活动)。
Francesco Solimena,Q736065,Person,[Category Fix] 原文误标为 Place。那不勒斯画家。
Francesco Trevisani,Q963875,Person,[Category Fix] 原文误标为 Place。罗马画家。
Francesco Valcanover,Q55987913,Person,[Validation] 艺术史学家 (威尼斯)。
Francesco Zuccarelli,Q919093,Person,[Category Fix] 原文误标为 Place。风景画家。
Francesco Zugno,Q1756544,Person,[Category Fix] 原文误标为 Place。威尼斯画家。
Francis Bacon,Q37388,Person,[Validation] 哲学家或现代画家 (需结合语境，B_refined.csv暗示可能为哲学家)。
Francis Haskell,Q320477,Person,[Validation] 艺术史学家 (Patrons and Painters)。
Francis Henry Taylor,Q592755,Person,[Validation] 博物馆馆长 (Metropolitan)。
Francis I of France,Q129857,Person,[Category Fix] 原文误标为 Place。 | [Validation] 法国国王。
Francis Watson,Q1441774,Person,[Validation] 艺术史学家 (Wallace Collection)。 | 华莱士收藏馆馆长。
Francisco Goya,Q5432,Person,[Validation] 西班牙画家。
Franco Venturi,Q481482,Person,[Validation] 历史学家 (Settecento riformatore)。 | 著名的现代历史学家（启蒙运动研究）。
Franconia,Q150907,Place,[Validation] 德国地区。
Frank E. Manuel,,Person,[Validation] 历史学家。
Frans Pourbus the Younger,Q934540,Person,[Validation] 佛兰芒肖像画家。 | 佛兰芒肖像画家。
Frans van Mieris the Elder,Q959236,Person,[Validation] 荷兰画家。 | 荷兰黄金时代画家。
Franz Ehrle,Q61283,Person,[Validation] 枢机主教/梵蒂冈图书馆长。
François Boucher,,Person,"[OCR Fix] ""?"" -> ""ç""。 | [Reconstruction] 法国洛可可画家。"
François Duquesnoy,,Person,"[OCR Fix] ""?"" -> ""ç""。 | [Validation] 佛兰芒雕塑家。"
François Gerbault,,Person,[Category Fix] 原文误标为 Place。法国/博洛尼亚建筑师? 需确认。可能是指 Francesco Gerbault (Gem engraver?)。更可能是 François Gerbault (French artist active in Italy)。
François Girardon,,Person,"[OCR Fix] ""?"" -> ""ç""。 | [Reconstruction] 法国雕塑家。"
François Mansart,,Person,"[OCR Fix] ""?"" -> ""ç""。 | [Validation] 法国建筑师。"
François Rabelais,,Person,"[OCR Fix] ""?"" -> ""ç""。"
François Sublet de Noyers,,Person,"[OCR Fix] ""Fran?ois"" -> ""François""。黎塞留时期的法国大臣。"
François de Bonne de Créquy,,Person,"[OCR Fix] ""?"" -> ""ç""。"
François de Nomé,,Person,[OCR Fix] 别名 Monsù Desiderio。
François de Nomé (Monsù Desiderio),,Person,"[OCR Fix] ""?"" -> ""ç""。"
François de Troy,,Person,"[OCR Fix] ""Fran?ois"" -> ""François""。法国肖像画家。"
François-Joachim de Pierre de Bernis,,Person,"[OCR Fix] ""?"" -> ""ç""。 | [OCR Fix] ""Bermis"" -> ""Bernis""。法国枢机/外交官。"
Frederick Antal,Q215037,Person,[Validation] 艺术史学家。
Frederick Augustus I (Augustus II the Strong),,Person,[Disambiguation] 萨克森选帝侯/波兰国王。
Frederick Augustus I (Saxony),,Person,[Disambiguation] 同 Frederick Augustus I。
Frederick Augustus II (Augustus III of Poland),,Person,[Disambiguation] 萨克森选帝侯/波兰国王。
Frederick Barbarossa,,Person,[Disambiguation] 腓特烈一世 (神圣罗马帝国)。
Frederick Charles (Bishop),,Person,[Disambiguation] 可能是 Friedrich Karl von Schönborn (Prince-Bishop)。
Frederick III (Holy Roman Emperor),,Person,[Disambiguation] 神圣罗马帝国皇帝。 | [Validation] 同上。
Frederick IV of Denmark,Q161059,Person,[Validation] 丹麦国王。
Frederick the Great,Q118998667,Person,[Validation] 普鲁士国王。
Frederiksborg Palace,Q226103,Place,[Validation] 丹麦宫殿。
French Academy in Rome,Q337494,Organization,[Category Fix] 原文误标为 Group (可接受，建议为 Organization)。
French hostility to Italian art (17th c.),,Concept,[Validation] 艺术史议题。
French patronage,,Concept,[Validation] 艺术赞助。
Fresco on staircase of Hampton Court Palace,A358,Work,[Validation] Verrio/Laguerre壁画。
Frescoes in Lanfranco Chapel (Modena Cathedral),,Work,"[Correction] Lanfranco 是摩德纳大教堂的建筑师。可能是指 ""Frescoes in the Lanfranco Chapel"" 或 ""Frescoes by Lanfranco"" (Giovanni Lanfranco)。结合上下文 ""Frescoes in..."", 可能是地点。但 Lanfranco 也是画家。需确认。如果指 Lanfranco (画家) 在 Naples Cathedral 的壁画，则为 Work。如果指 Modena Cathedral (Arch. Lanfranco)，则为 Place/Work。倾向于 Giovanni Lanfranco 的壁画作品。"
Frescoes in Sant'Andrea della Valle,A107,Work,[Validation] Domenichino/Lanfranco 壁画。
Frescoes in the Corsini Chapel,A108,Work,[Validation] 罗马 Lateran 或佛罗伦萨 Carmine。
Frescoes in the Palazzo Doria Pamphilj (Valmontone),,Work,[Validation] Preti/Mola 壁画。
Friedrich Karl von Schönborn,,Person,[OCR Fix]
Frits Lugt,Q1465270,Person,[Validation] 收藏家/学者 (Lugt Numbers)。
Fritz Dworschak,Q17417910,Person,[Validation] 维也纳博物馆馆长/钱币学家。
Fritz Saxl,Q78900,Person,[Validation] 艺术史学家 (Warburg Institute)。
Friuli,Q160570,Place,[Validation] 意大利地区。
Frédéric Villot,Q3090265,Person,[Validation] 卢浮宫策展人/朋友 (Delacroix)。
Fulvio Miari,R63,Person,[Validation] 贝卢诺历史学家 (Cronache bellunesi)。
Fulvio Testi,Q594614,Person,[Validation] 诗人/外交官。
G. J. Hoogewerff,,Person,[Validation] 荷兰艺术史学家。
Gabinetto Fotografico Nazionale,,Organization/Place,[Category Fix] 原文误标为 Place。
Gabriel Bonnot de Mably,Q202555,Person,[Validation] 哲学家。
Gabriel Grupello,,Person,"[OCR Fix] ""?"" -> ""ë""。佛兰芒雕塑家。 | [Validation] 佛兰芒雕塑家。"
Gabriel Hanotaux,Q956253,Person,[Validation] 历史学家/政治家。
