Refined_Formal_Name,Refined_Category,Status/Notes
Dwight C. Miller,Person,现代艺术史学家（博洛尼亚画派专家）。
Düsseldorf,Place,[Validation] 城市。
Earl of Carlisle,Person,[Validation] 英国贵族头衔。
Earl of Dartmouth,Person,[Validation] 英国贵族。
Earl of Halifax,Person,[Validation] 英国贵族 (Charles Montagu)。
Earl of Tankerville,Person,查尔斯·贝内特（Charles Bennet）等。
Ecstasy of Saint Teresa,Work,[Category Fix] 圣特蕾莎的狂喜（或相关主题）。 | [Validation] 贝尼尼雕塑。
Edgar Wind,Person,[Validation] 艺术史学家。
Edgar de Vaes,Person,[Check Original] 可能是人名或拼写错误。
Edgware,Place,"[OCR Fix] ""Edgwareand"" -> ""Edgware"" (London)。"
Edmond Bonnaffé,Person,[Validation] 法国收藏家/艺术写作者。
Edmé Bouchardon,Person,[Reconstruction] 法国雕塑家。
Edoardo Lombardo,Person,[Validation] 现代学者 (威尼斯史)。
Education of the Virgin,Work,[Validation] 绘画主题。
Edward Coke (1758-1837),Person,"[Disambiguation] 可能是 Thomas Coke 的儿子或著名的法学家 (Sir Edward Coke, 早期)。结合上下文通常指 18世纪 Grand Tour 人物。"
Edward Croft-Murray,Person,[Validation] 大英博物馆策展人。
Edward Gibbon,Person,[Validation] 历史学家。
Edward Poore,Person,[Validation] 英国旅行者/日记作者。
Edward Wright,Person,[Validation] 英国旅行作家 (Some Observations made in Travelling...)。
Edward Young,Person,[Validation] 诗人 (Night Thoughts)。
El Escorial,Place,[Validation] 埃斯科里亚尔。 | [Validation] 西班牙修道院/皇宫。
Elena Bassi,Person,[Validation] 艺术史学家 (Canova/Venice)。
Elena Crinò,Person,[Validation] 学者 (现代)。
Eleonora Zambeccari,Person,[Category Fix] 原文误标为 Man-Made Object。博洛尼亚贵族。 | [Validation] 博洛尼亚贵族。
Elijah,Person,[Validation] 先知。
Elijah Taken Up in a Chariot of Fire,Work,[Validation] 绘画主题。
Elisa Carandini,Person,[Category Fix] 原文误标为 Work。
Elisabeth Dhanens,Person,[Validation] 艺术史学家 (Van Eyck专家)。
Elisabetta Antoniazzi Rossi,Person,"[OCR Fix] ""Elizabetta"" -> ""Elisabetta""。学者。"
Elizabeth Du Gué Trapier,Person,[Validation] 艺术史学家 (Hispanic Society)。
"Elizabeth Felton, Countess of Bristol",Person,[Disambiguation] 赫维勋爵的妻子。
Elizabeth Yates,Person,[Validation] 演员/作家 (可能指同名者，需上下文)。
Ellis Waterhouse,Person,[Validation] 艺术史学家。 | 英国艺术史学家。
Elpidio Benedetti,Person,[Validation] 罗马的法国代理人/经纪人。
Emil Kauffmann,Person,[Validation] 音乐家/艺术爱好者 (Angelica Kauffman父亲?)。需区分 Emil Kaufmann (建筑史学家) 或 Friedrich Kauffmann。应为 Emil Kaufmann (1891–1953) 建筑史学家。
Emilia-Romagna,Place,[Validation] 意大利大区。
Emilio Bonomelli,Person,[Validation] 教皇宫廷官员 (Castel Gandolfo)。
Emilio De Tipaldo,Person,[Validation] 传记作家。
Emilio Lavagnino,Person,[Validation] 艺术史学家/策展人。
Emilio Morpurgo,Person,[Validation] 帕多瓦统计学家/政治家。
"Emily Temple, Viscountess Palmerston",Person,19世纪英国贵族。 | [Disambiguation] 帕默斯顿夫人。
Emmanuele Antonio Cicogna,Person,[Validation] 威尼斯碑铭学家/历史学家。
Emperor Henry IV Kneeling Before Pope Gregory VII,Work,[Validation] 绘画主题 (Canossa)。
Enea Arnaldi / Lodovico Arnaldi?,Person,"[Check] 可能是 ""Enea Arnaldi"" (维琴察学者) 或 ""Lodovico Arnaldi"" (贵族)。待定为 Lodovico Arnaldi。"
Enea Silvio Caprara,Person,[Disambiguation] 奥地利元帅。 | [Disambiguation] 奥地利陆军元帅 (Enea Silvio Caprara)。
English patronage,Concept,[Validation] 艺术赞助。
Enrico Brol (Author),Person,"[Check Original] 可能是 ""Enrico Broilo""? 待定。"
Enrico Carusi,Person,[Validation] 梵蒂冈图书馆员/法制史学家。
Enrico Narducci,Person,[Validation] 罗马图书馆员/目录学家。
Enrico Zuccalli,Person,[Validation] 建筑师。
Enriqueta Harris,Person,[Validation] 艺术史学家 (Velázquez专家)。
Entrance of Procurator Giorgio Pisani,Place,"[OCR Fix] ""nell＊ingresso"" -> ""nell'ingresso""。指代具体位置或该处的装饰/铭文。"
Entry of the Count of Colloredo,Work,[Validation] 卡纳莱托画作。
Enzo Bentivoglio,Person,[Validation] 费拉拉侯爵/赞助人。
Enzo Crea,Person,[Validation] 罗马出版商/学者。
Epicurus,Person,[Validation] 哲学家。
Equestrian Statue of Henry IV,Work,[Validation] 巴黎新桥雕塑 (Giambologna/Tacca)。
Equestrian Statue of Louis XIV,Work,[Validation] 贝尼尼/Girardon雕塑。
Ercole Ferrata,Person,[Validation] 罗马巴洛克雕塑家。
Ercole Graziani,Person,[Validation] 博洛尼亚画家。
Ercole Lelli,Person,[Validation] 解剖蜡像制作师/艺术家。
Ercole Procaccini the Elder,Person,[Validation] 画家。 | 米兰画家（或指 Younger）。
Erminia,Person (Lit),[Validation] 《耶路撒冷的解放》人物。
Ernst Gombrich,Person,[Validation] 艺术史学家。
Ernst Zacharias Platner,Person,(Platner) 莱比锡的《Description of Rome》合著者。
Erwin Panofsky,Person,[Validation] 图像学家。
Esau,Person,[Validation] 圣经人物。
Este,Place,[Validation] 城镇/家族发源地。
Estella Brunetti,Person,[Validation] 艺术史学家。
Esther,Person,[Validation] 圣经人物。
Esther before Ahasuerus,Work,[Validation] 绘画主题。
Et in Arcadia ego,Work,[Category Fix] 普桑画作的临摹/版画。 | [Validation] 普桑/Guercino画作标题。
Etchings of Oriental-style Heads,Work,[Validation] Castiglione 或 Tiepolo 作品。
Eteocles,Person (Myth),[Validation] 神话人物。
Eteocles and Polynices,Work,[Validation] 绘画主题。
Euclid,Person,[Validation] 古希腊数学家。
Eugene of Savoy,Person,欧根亲王，著名的将领和收藏家。
Eugène Michaud,Person,[Validation] 历史学家 (19世纪)。
Euphrasian Basilica (Poreč),Place,[Disambiguation] 波雷奇大教堂。
Europa,Person (Myth),[Category Fix] 原文误标为 Man-Made Object。神话人物。
European scientific societies,Group/Concept,[Category Fix] 原文误标为 Place。
Eusebio Della Lena,Person,[Validation] 威尼斯作家 (18世纪)。
Eustachio Manfredi,Person,[Validation] 天文学家/诗人。
Eustachio Zanotti,Person,[Validation] 天文学家。
Evelina Borea,Person,[Validation] 现代艺术史学家。
Everhard Jabach,Person,[Validation] 收藏家 (路易十四赞助)。 | [Validation] 收藏家。
Exhibition of S. Rocco,Event,[Category Fix] 威尼斯圣罗格大会堂的年度画展。
Ezekiel,Person,[Validation] 先知。
Fabia Borroni Salvadori,Person,[Full Name] 版画研究学者。
Fabio Canal,Person,[Validation] 威尼斯画家。
Fabio Mauroner,Person,[Validation] 20世纪艺术史学家/版画家。
Fabio de Fabiis,Person,[Validation] 罗马人物。
Fabio degli Abati Olivieri,Person,[Validation] 枢机主教。
Fabrizio Moretti,Person,[Context] 可能是现代艺术商 (Moretti Fine Art)，也可能指历史人物。鉴于列表多为艺术史相关，可能是前者或其画廊。需确认上下文。
Fabrizio Pignatelli d'Aragona,Person,[Validation] 贵族 (Monteleone公爵)。
Fabrizio Savelli,Person,17世纪红衣主教（或 Giulio Savelli）。
Fabrizio Spada,Person,[Validation] 枢机主教。
Fabrizio Tarso,Person,[Validation] 历史人物 (可能与 Spada 家族有关)。
Fabrizio Valguarnera,Person,[Validation] 17世纪西西里贵族/收藏家 (宝石/画作)。
Facade of Santa Maria del Giglio,Work,[Validation] 威尼斯教堂立面 (Giuseppe Sardi)。
Faith crushing Idolatry,Work,[Validation] 雕塑/绘画主题 (Theodon等)。
Fame Carrying the Name of Louis XIV...,Work,[Validation] 绘画主题 (Le Brun等)。
Fame inscribing the glories of Louis XIV...,Work,[Validation] 绘画主题。
Famiano Strada,Person,[Validation] 耶稣会历史学家。
Fantastical Heads in the Manner of Giorgione,Work,[Validation] 画作/版画描述 (Pietro della Vecchia等)。
Fantasy and reason,Concept,[Validation] 艺术理论概念。
Farnese (Family),Group,[Category Fix] 原文误标为 Place。
Fausta Franchini Guelfi,Person,[Validation] 艺术史学家 (Alessandro Magnasco专家)。
Faustina Savorgnan,Person,[Validation] 威尼斯贵族。
Fausto Rughesi,Person,[Validation] 建筑师 (Santa Maria in Vallicella立面)。
Federico Barocci,Person,[Validation] 乌尔比诺画家。
Federico Bencovich,Person,"[OCR Fix] ""Federiko Benkovi?"" -> ""Federico Bencovich"" (Dalmatian painter)。 | [Reconstruction] 达尔马提亚/威尼斯画家。"
Federico Borromeo,Person,[Category Fix] 原文误标为 Place。米兰枢机主教/Ambrosiana创建者。
Federico Cervelli,Person,[Validation] 威尼斯画家 (Sebastiano Ricci的老师)。
Federico Cesi,Person,[Validation] 猞猁之眼学院创始人。
Federico Correr Lorenzetti,Person,"[Validation] 威尼斯贵族/收藏家? 需核实。可能是误将 ""Correr"" 和 ""Lorenzetti"" (Giulio Lorenzetti, 学者) 混合，或特定人物。"
Federico Zeri,Person,[Validation] 著名艺术史学家。
Federico Zuccari,Person,[Validation] 风格主义画家/理论家。 | 风格主义画家。
Federico da Montefeltro,Person,"[OCR Fix] ""Montefeltre"" -> ""Montefeltro""。乌尔比诺公爵。 | 乌尔比诺公爵。"
Felice Boscarati,Person,[Reconstruction] 维罗纳画家。 | [Validation] 维罗纳画家。
Felice Brusasorzi,Person,[Disambiguation] 维罗纳画家。
Felice Salimbeni,Person,"[Validation] 20世纪艺术史学家? 还是误指 Ventura Salimbeni? 或者是 Felice (saint)? 搜索显示 Felice Boscarati 之后有 Salimbeni, 可能是 Ventura Salimbeni 的误拼或混淆。但也有可能是 Felice Salimbeni (Soprano castrato)。结合上下文 ""S_refined""，可能是 Ventura Salimbeni? 待定。更可能是 Ventura Salimbeni。"
Felice Torelli,Person,[Validation] 博洛尼亚画家。
Felice da Cantalice,Person,[Validation] 圣徒。
Felicita Sartori,Person,[Validation] 威尼斯女画家 (Rosalba Carriera学生)。
Ferdinand Boyer,Person,[Validation] 历史学家 (法国对意艺术掠夺)。
Ferdinand Ernst Gabriel von Waldstein,Person,[Validation] 贝多芬赞助人。
"Ferdinand Maria, Elector of Bavaria",Person,[Validation] 巴伐利亚选帝侯。
Ferdinand van den Eynde,Person,[Validation] 佛兰芒/罗马收藏家 (Duquesnoy墓碑)。 | 佛罗伦萨/那不勒斯收藏家。
Ferdinando Caiano,Person,[Reconstruction] 名字倒装复原。
Ferdinando Carlo Gonzaga,Person,[Validation] 曼图亚公爵。
"Ferdinando Carlo Gonzaga, Duke of Mantua",Person,[Validation] 曼图亚公爵。
Ferdinando Colonna (Prince of Stigliano),Person,[Validation] 贵族。
Ferdinando Galiani,Person,[Reconstruction] 经济学家。 | [Validation] 经济学家/作家 (Abbé Galiani)。
Ferdinando Galli-Bibiena,Person,[Reconstruction] 建筑师/透视学家。
"Ferdinando Gonzaga, Duke of Mantua",Person,[Validation] 曼图亚公爵。
Ferdinando I de' Medici,Person,[Validation] 托斯卡纳大公。
Ferdinando II de' Medici,Person,托斯卡纳大公。
Ferdinando Raggi,Person,[Validation] 18世纪建筑师 (Accademia di San Luca)。
Ferdinando Uccelli,Person,
Ferdinando d'Adda,Person,[Disambiguation] 费迪南多·达达枢机主教。 | [Validation] 枢机主教。
Ferdinando de' Medici,Person,[Validation] 同上。
Ferdinando de' Medici (Grand Prince),Person,"[Disambiguation] 可能是 Ferdinando I, II 或 Great Prince Ferdinando (Grand Tour/Art Patron)。在艺术语境中常指 Grand Prince Ferdinando (1663–1713)。 | [Validation] 美第奇家族大亲王 (Ferdinando III 的孙子，Cosimo III 之子)。"
"Ferdinando de' Medici, Grand Prince of Tuscany",Person,伟大的费迪南多亲王（Grand Prince），重要的艺术赞助人。
"Fernando Afán de Ribera, 3rd Duke of Alcalá",Person,[Full Name] 那不勒斯总督/收藏家。
"Fernando Afán de Ribera, duke of Alcalá",Person,西班牙贵族，那不勒斯总督。
Ferney-Voltaire,Place,[Validation] 伏尔泰居所。
Ferrante Carli,Person,"[OCR Fix] ""Carlo"" -> ""Carli"" (17世纪作家/帕尔马宫廷)。"
Ferrara,Place,[Validation] 城市。
Filippo Baldinucci,Person,[Validation] 艺术传记作家。
Filippo Bosdari,Person,[Validation] 博洛尼亚贵族/收藏家。
Filippo Brunelleschi,Person,[Validation] 建筑师。
Filippo Clementi,Person,[Validation] 作曲家/人物。
Filippo Colonna,Person,[Validation] 贵族/帕利亚诺亲王。
Filippo Corsini,Person,[Category Fix] 原文误标为 Work。 | [Validation] 建筑师/贵族。
Filippo Farsetti,Person,[Validation] 威尼斯著名收藏家 (Farsetti Gallery)。
Filippo Gherardi,Person,[Validation] 卢卡画家。
Filippo Juvarra,Person,[Validation] 建筑师/舞美设计师。
Filippo Lauri,Person,[Validation] 罗马画家。
Filippo Napoletano,Person,[Disambiguation] 菲利波·那波列塔诺。 | [Validation] 风景画家。
Filippo d'Angeli (Filippo Napoletano),Person,[Validation] 同上。
Filippo della Valle,Person,[Validation] 雕塑家。
Finding of Romulus and Remus,Work,[Validation] 绘画主题。
Fitzwilliam Museum,Place,[Validation] 剑桥博物馆。
Flagstaff / Glacier?,Place,"[Check Original] 极大概率是OCR错误或数据混淆。""Flagstaff"" 和 ""Glacier"" 似乎与17-18世纪艺术史无关。可能是 ""Galleria""? 待确认。"
Flaminio Corner,Person,[Validation] 威尼斯历史学家 (Churches of Venice)。
Flaminio Scarselli,Person,[Validation] 博洛尼亚学者。
Flavio Chigi,Person,[Validation] 枢机主教 (Alexander VII之侄)。
Flavio Chigi (1631-1693),Person,[Reconstruction] 枢机主教。
Flemish artists in Rome,Group,[Validation] 艺术家群体 (Bentvueghels等)。
Flight into Egypt,Work,[Validation] 绘画主题。
Flight of Aeneas from Troy,Work,[Validation] 绘画主题。
Flora,Person (Myth),[Validation] 花神。
Florence,Place,[Validation] 城市。
Florence Cathedral (Duomo),Place,[Validation] 佛罗伦萨大教堂。
Fondamenta Foscarini,Place,[Validation] 威尼斯街道。
Fondamenta delle Zattere,Place,威尼斯长堤。
Fondazione Giorgio Cini,Organization,[Category Fix] 原文误标为 Place。文化机构。
Fondazione Musei Civici di Venezia,Organization,[Category Fix] 威尼斯市立博物馆群。
Fondo del Gesù,Organization/Place,"[OCR Fix] ""Fondo di Gesù"" -> ""Fondo del Gesù"" (档案馆藏/耶稣会资产)。"
Fontana dei Quattro Fiumi,Work,[Category Fix] 原文误标为 Place。贝尼尼作品。
Fordham University,Organization,[Category Fix] 误标为 Place。
Foresteria (Guest House),Place,[Category Fix] 原文误标为 Work。指 Villa Valmarana ai Nani 的贵宾楼 (Foresteria)。
Forlì Cathedral,Place,[Validation] 弗利大教堂。
Fortitude,Person (Allegory),[Category Fix] 原文误标为 Man-Made Object。寓意人物。
Fortune under the control of Virtue,Work,[Validation] 绘画主题。
"Fortune under the control of Virtue, Justice and Peace",Work,[Validation] 绘画主题。
Foscarini (Family),Group,[Validation] 威尼斯家族。
Four Evangelists,Group/Work,[Validation] 四福音书作者 (主题)。
Fra Bartolomeo,Person,[Reconstruction] 佛罗伦萨画家。 | [Validation] 画家。
Fra Galgario,Person,[Validation] 画家。
Fra Galgario (Vittore Ghislandi),Person,[Validation] 贝加莫肖像画家。
Frances Lehman Loeb Art Center,Place,[Validation] 瓦萨学院美术馆。
Frances Pamela Ann Strickland,Person,[Validation] 人物。
Francesca Bussi,Person,[Category Fix] 原文误标为 Place。罗马人物 (Bussi家族)。
Francesca Flores d'Arcais,Person,[Validation] 艺术史学家。
Francesco Adriano Ceva,Person,[Disambiguation] 枢机主教。 | [Validation] 枢机主教。
Francesco Albani,Person,[Category Fix] 原文误标为 Place (E53)。波伦亚派画家。
Francesco Albergati Capacelli,Person,[Category Fix] 原文误标为 Place (E53)。剧作家/侯爵。 | [Validation] 剧作家。
Francesco Alberto Salvagnini,Person,[Validation] 18世纪博洛尼亚学者。
Francesco Algarotti,Person,[Category Fix] 原文误标为 Place。威尼斯多面手/鉴赏家。
Francesco Allegrini,Person,[Category Fix] 原文误标为 Place。画家。
Francesco Andrea Grassi,Person,[Validation] 主教。
Francesco Andreosi,Person,[Category Fix] 原文误标为 Place。雕塑家/修复师。
Francesco Angelo Rapaccioli,Person,[Validation] 枢机主教。 | 枢机主教，艺术赞助人。
Francesco Angeloni,Person,[Category Fix] 原文误标为 Place。古物学家/Bellori的叔叔。
Francesco Antonio Correr,Person,[Category Fix] 原文误标为 Place。威尼斯宗主教。
Francesco Antonio Vallotti,Person,[Validation] 音乐理论家/作曲家。
Francesco Baratta,Person,[Category Fix] 原文误标为 Place。雕塑家。 | [Validation] 雕塑家。
Francesco Barberini,Person,[Category Fix] 原文误标为 Work。
Francesco Barberini (1597–1679),Person,[Category Fix] 原文误标为 Place。 | [Validation] 枢机主教。
Francesco Barberini (Uncle),Person,[Category Fix] 原文误标为 Place。乌尔班八世的叔叔 (Proto-notary)。
Francesco Bartolozzi,Person,[Validation] 版画家。
Francesco Bassi (Il Cremonese),Person,[Category Fix] 原文误标为 Place。风景画家。 | [Validation] 画家。
Francesco Bertos,Person,[Category Fix] 原文误标为 Place。雕塑家。
Francesco Bordoni,Person,[Category Fix] 原文误标为 Place。雕塑家。
Francesco Borromini,Person,[Category Fix] 原文误标为 Place。建筑师。
Francesco Borzone,Person,[Category Fix] 原文误标为 Place。画家 (Bourzon)。
Francesco Botti,Person,[Category Fix] 原文误标为 Place。佛罗伦萨画家。
Francesco Bracciolini,Person,[Category Fix] 原文误标为 Place。诗人 (赞颂巴贝里尼)。
Francesco Catalano,Person,[Category Fix] 原文误标为 Place。
Francesco Colonna,Person,[Validation] 贵族。
Francesco Cozza,Person,[Category Fix] 原文误标为 Place。画家。
Francesco De Mura,Person,[Category Fix] 原文误标为 Place。那不勒斯画家。
Francesco Di Maria,Person,[Category Fix] 原文误标为 Place。那不勒斯画家。
Francesco Donato (Doge),Person,[Disambiguation] 威尼斯总督。
Francesco Drach,Person,[Validation] 可能是 Franz Drach (画商/收藏家)。
Francesco Fanelli,Person,[Category Fix] 原文误标为 Place。雕塑家。
Francesco Fernandi (Imperiali),Person,[Category Fix] 原文误标为 Place。罗马画家。
Francesco Fontana,Person,[Validation] 建筑师 (Carlo之子)。
Francesco Fontana (Conte),Person,[Category Fix] 原文误标为 Place。建筑师 Carlo Fontana 之子。
Francesco Fontebasso,Person,[Category Fix] 原文误标为 Place。威尼斯画家。
Francesco Girolamo Nappi,Person,(P.可能是Padre/Frate) 17世纪神职人员/作家，或画家。
Francesco Griseri,Person,[Validation] 建筑师/人物。
Francesco Guardi,Person,[Category Fix] 原文误标为 Place。威尼斯画家。
Francesco Guicciardini,Person,[Category Fix] 原文误标为 Place。历史学家。
Francesco I d'Este,Person,[Disambiguation] 摩德纳公爵 (Bernini雕像)。
Francesco Lorenzi,Person,[Category Fix] 原文误标为 Place。维罗纳画家 (Tiepolo学生)。
Francesco Maffei,Person,[Category Fix] 原文误标为 Place。维琴察画家。
Francesco Maggiotto,Person,[Category Fix] 原文误标为 Place。威尼斯画家 (Domenico Fedeli)。
Francesco Maidalchini,Person,[Category Fix] 原文误标为 Place。枢机主教。
Francesco Mancini,Person,[Category Fix] 原文误标为 Place。画家。
Francesco Maria I della Rovere,Person,[Validation] 乌尔比诺公爵。 | 乌尔比诺公爵。
Francesco Maria Niccolò Gabburri,Person,[Category Fix] 原文误标为 Place。 | [Validation] 佛罗伦萨收藏家/传记作家。
Francesco Maria Richini,Person,[Category Fix] 原文误标为 Place。米兰巴洛克建筑师。 | [Validation] 米兰巴洛克建筑师。
Francesco Maria Ruspoli,Person,[Disambiguation] 亨德尔赞助人。
Francesco Maria Zanotti,Person,[Validation] 博洛尼亚哲学家/作家。 | 博洛尼亚哲学家/作家。
Francesco Maria de' Medici,Person,[Category Fix] 原文误标为地点。红衣主教，科西莫三世的弟弟。
Francesco Maria del Monte,Person,[Category Fix] 原文误标为 Place。著名的卡拉瓦乔赞助人。 | [Validation] 枢机主教 (Caravaggio赞助人)。
Francesco Marucelli,Person,[Category Fix] 原文误标为 Place。收藏家 (Biblioteca Marucelliana)。
Francesco Mengardi,Person,[OCR Fix/Typo] 原文标为地点且拼写疑似有误，应为画家 Francesco Mengardi。
Francesco Migliori,Person,[Category Fix] 原文误标为 Place。威尼斯画家。
Francesco Milizia,Person,[Category Fix] 原文误标为 Place。新古典主义理论家。
Francesco Monti (Bolognese),Person,[Category Fix] 原文误标为 Place。画家。
Francesco Morosini (Peloponnesiaco),Person,[Category Fix] 原文误标为 Place。威尼斯总督/将军。
Francesco Novelli,Person,[Category Fix] 原文误标为 Place。威尼斯版画家 (Pietro Antonio之子)。
Francesco Panciatichi,Person,[Category Fix] 原文误标为 Place。佛罗伦萨参议员。 | [Validation] 佛罗伦萨政治家/国务秘书。
Francesco Petrucci,Person,[Validation] 现代艺术史学家 (Bernini/Chigi专家)。
Francesco Pio di Savoia,Person,[Validation] 贵族 (Prince of San Gregorio)。
Francesco Piranesi,Person,[Category Fix] 原文误标为 Place。版画家 (Giovanni Battista之子)。
Francesco Polazzo,Person,[Category Fix] 原文误标为 Place。威尼斯画家。
Francesco Redi,Person,[Category Fix] 原文误标为 Place。科学家/诗人。
Francesco Rosichino,Person,[Disambiguation] 17世纪罗马礼仪官 (Master of Ceremonies)。
Francesco Scaramuccia,Person,[Validation] 罗马/佩鲁贾画家/传记作者 (Luigi Scaramuccia之父?)。通常传记作者是 Luigi Scaramuccia。需确认原文是否指 Luigi 或其父。如果是 17世纪，Luigi 更出名。
Francesco Simonini,Person,[Category Fix] 原文误标为 Place。战斗画家。
Francesco Sleter,Person,[Category Fix] 原文误标为 Place。画家 (在英国活动)。
Francesco Solimena,Person,[Category Fix] 原文误标为 Place。那不勒斯画家。
Francesco Trevisani,Person,[Category Fix] 原文误标为 Place。罗马画家。
Francesco Valcanover,Person,[Validation] 艺术史学家 (威尼斯)。
Francesco Zuccarelli,Person,[Category Fix] 原文误标为 Place。风景画家。
Francesco Zugno,Person,[Category Fix] 原文误标为 Place。威尼斯画家。
Francis Bacon,Person,[Validation] 哲学家或现代画家 (需结合语境，B_refined.csv暗示可能为哲学家)。
Francis Haskell,Person,[Validation] 艺术史学家 (Patrons and Painters)。
Francis Henry Taylor,Person,[Validation] 博物馆馆长 (Metropolitan)。
Francis I of France,Person,[Category Fix] 原文误标为 Place。 | [Validation] 法国国王。
Francis Watson,Person,[Validation] 艺术史学家 (Wallace Collection)。 | 华莱士收藏馆馆长。
Francisco Goya,Person,[Validation] 西班牙画家。
Franco Venturi,Person,[Validation] 历史学家 (Settecento riformatore)。 | 著名的现代历史学家（启蒙运动研究）。
Franconia,Place,[Validation] 德国地区。
Frank E. Manuel,Person,[Validation] 历史学家。
Frans Pourbus the Younger,Person,[Validation] 佛兰芒肖像画家。 | 佛兰芒肖像画家。
Frans van Mieris the Elder,Person,[Validation] 荷兰画家。 | 荷兰黄金时代画家。
Franz Ehrle,Person,[Validation] 枢机主教/梵蒂冈图书馆长。
François Boucher,Person,"[OCR Fix] ""?"" -> ""ç""。 | [Reconstruction] 法国洛可可画家。"
François Duquesnoy,Person,"[OCR Fix] ""?"" -> ""ç""。 | [Validation] 佛兰芒雕塑家。"
François Gerbault,Person,[Category Fix] 原文误标为 Place。法国/博洛尼亚建筑师? 需确认。可能是指 Francesco Gerbault (Gem engraver?)。更可能是 François Gerbault (French artist active in Italy)。
François Girardon,Person,"[OCR Fix] ""?"" -> ""ç""。 | [Reconstruction] 法国雕塑家。"
François Mansart,Person,"[OCR Fix] ""?"" -> ""ç""。 | [Validation] 法国建筑师。"
François Rabelais,Person,"[OCR Fix] ""?"" -> ""ç""。"
François Sublet de Noyers,Person,"[OCR Fix] ""Fran?ois"" -> ""François""。黎塞留时期的法国大臣。"
François de Bonne de Créquy,Person,"[OCR Fix] ""?"" -> ""ç""。"
François de Nomé,Person,[OCR Fix] 别名 Monsù Desiderio。
François de Nomé (Monsù Desiderio),Person,"[OCR Fix] ""?"" -> ""ç""。"
François de Troy,Person,"[OCR Fix] ""Fran?ois"" -> ""François""。法国肖像画家。"
François-Joachim de Pierre de Bernis,Person,"[OCR Fix] ""?"" -> ""ç""。 | [OCR Fix] ""Bermis"" -> ""Bernis""。法国枢机/外交官。"
Frederick Antal,Person,[Validation] 艺术史学家。
Frederick Augustus I (Augustus II the Strong),Person,[Disambiguation] 萨克森选帝侯/波兰国王。
Frederick Augustus I (Saxony),Person,[Disambiguation] 同 Frederick Augustus I。
Frederick Augustus II (Augustus III of Poland),Person,[Disambiguation] 萨克森选帝侯/波兰国王。
Frederick Barbarossa,Person,[Disambiguation] 腓特烈一世 (神圣罗马帝国)。
Frederick Charles (Bishop),Person,[Disambiguation] 可能是 Friedrich Karl von Schönborn (Prince-Bishop)。
Frederick III (Holy Roman Emperor),Person,[Disambiguation] 神圣罗马帝国皇帝。 | [Validation] 同上。
Frederick IV of Denmark,Person,[Validation] 丹麦国王。
Frederick the Great,Person,[Validation] 普鲁士国王。
Frederiksborg Palace,Place,[Validation] 丹麦宫殿。
French Academy in Rome,Organization,[Category Fix] 原文误标为 Group (可接受，建议为 Organization)。
French hostility to Italian art (17th c.),Concept,[Validation] 艺术史议题。
French patronage,Concept,[Validation] 艺术赞助。
Fresco on staircase of Hampton Court Palace,Work,[Validation] Verrio/Laguerre壁画。
Frescoes in Lanfranco Chapel (Modena Cathedral),Work,"[Correction] Lanfranco 是摩德纳大教堂的建筑师。可能是指 ""Frescoes in the Lanfranco Chapel"" 或 ""Frescoes by Lanfranco"" (Giovanni Lanfranco)。结合上下文 ""Frescoes in..."", 可能是地点。但 Lanfranco 也是画家。需确认。如果指 Lanfranco (画家) 在 Naples Cathedral 的壁画，则为 Work。如果指 Modena Cathedral (Arch. Lanfranco)，则为 Place/Work。倾向于 Giovanni Lanfranco 的壁画作品。"
Frescoes in Sant'Andrea della Valle,Work,[Validation] Domenichino/Lanfranco 壁画。
Frescoes in the Corsini Chapel,Work,[Validation] 罗马 Lateran 或佛罗伦萨 Carmine。
Frescoes in the Palazzo Doria Pamphilj (Valmontone),Work,[Validation] Preti/Mola 壁画。
Friedrich Karl von Schönborn,Person,[OCR Fix]
Frits Lugt,Person,[Validation] 收藏家/学者 (Lugt Numbers)。
Fritz Dworschak,Person,[Validation] 维也纳博物馆馆长/钱币学家。
Fritz Saxl,Person,[Validation] 艺术史学家 (Warburg Institute)。
Friuli,Place,[Validation] 意大利地区。
Frédéric Villot,Person,[Validation] 卢浮宫策展人/朋友 (Delacroix)。
Fulvio Miari,Person,[Validation] 贝卢诺历史学家 (Cronache bellunesi)。
Fulvio Testi,Person,[Validation] 诗人/外交官。
G. J. Hoogewerff,Person,[Validation] 荷兰艺术史学家。
Gabinetto Fotografico Nazionale,Organization/Place,[Category Fix] 原文误标为 Place。
Gabriel Bonnot de Mably,Person,[Validation] 哲学家。
Gabriel Grupello,Person,"[OCR Fix] ""?"" -> ""ë""。佛兰芒雕塑家。 | [Validation] 佛兰芒雕塑家。"
Gabriel Hanotaux,Person,[Validation] 历史学家/政治家。
Gabriel Maugain,Person,[Validation] 学者 (Etude sur l'évolution intellectuelle de l'Italie)。
Gabriel Naudé,Person,[Validation] 图书馆学家/学者。
Gabriel-François Coyer,Person,"[OCR Fix] ""?"" -> ""ç""。"
Gabriel-Jules de Cosnac,Person,[Validation] 历史学家 (Memoirs of Louis XIV)。
Gabriele Balestrieri,Person,[Validation] 帕尔马画家 (或相关人物)。
Gabriele Emo / Giovanni Emo,Person,[Disambiguation] 威尼斯行政官。最著名的是 Gabriele Emo 或 Giovanni Emo。保留泛指或标记需确认。
Gabriele dal Pozzo,Person,[Validation] 家族成员 (Cassiano的堂兄?)。
