Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
"Rossi, Ventura and Lorenzo",Ventura Rossi / Lorenzo Rossi,Person,[Split Required] 需拆分。
"Rosso, Andrea del (grandfather of Andrea, Lorenzo, and Ottavio del Rosso)",Andrea del Rosso (Elder),Person,[Formatting] 简化并保留辈分信息。
"Rosso, Giovanni Battista del",Giovanni Battista del Rosso,Person,[Formatting] 标准格式。
"Rosso, Nicola del",Nicola del Rosso,Person,[Formatting] 标准格式。
"Sagredo, Gherardo",Gherardo Sagredo,Person,[Formatting] 威尼斯贵族。
"Sagredo, Stefano",Stefano Sagredo,Person,[Formatting] 威尼斯贵族。
"Sagrestani, Giovan Camillo",Giovanni Camillo Sagrestani,Person,[Formatting] 佛罗伦萨画家。
"Saint-Sauveur, Monsieur de",Monsieur de Saint-Sauveur,Person,[Status] 法国驻威尼斯领事。
"San Rocco, Scuola di",Scuola Grande di San Rocco,Organization,[Category Fix] 误标为地点，实为机构/建筑。
"Santi, Tommaso de'",Tommaso de' Santi,Person,[Formatting] 标准格式。
"Savoy, Adelaide Enrichetta of",Adelaide of Savoy,Person,[Standardization] 勃艮第公爵夫人。
"Savoy, Anne Marie of",Anne Marie d'Orléans (Queen of Sardinia),Person,[Disambiguation] 维托里奥·阿梅迪奥二世的妻子。
"Savoy, Cardinal Maurizio of",Prince Maurizio of Savoy,Person,[Formatting] 萨沃伊家族红衣主教。
"Savoy, Carlo Emmanuele III of",Charles Emmanuel III of Sardinia,Person,[Standardization] 萨丁尼亚国王。
"Savoy, Duchess of",Duchess of Savoy,Person,[Status] 需结合上下文确定具体人物。
"Savoy, Vittorio Amedeo II, Duke of",Victor Amadeus II of Sardinia,Person,[Standardization] 萨丁尼亚国王。
"Schulenburg, Marshal Johann Matthias",Johann Matthias von der Schulenburg,Person,[Standardization] 威尼斯陆军元帅、收藏家。
Sch?nborn family,Schönborn family,Group,"[OCR Fix] 修复乱码 ""Sch?nborn"" 为 ""Schönborn""。修正分类。"
"Sch?nborn, Johann Philip Franz",Johann Philipp Franz von Schönborn,Person,"[OCR Fix] 修复乱码 ""Sch?nborn"" 为 ""Schönborn""。"
"Serra, Mgr Giacomo",Cardinal Giacomo Serra,Person,[Formatting] 鲁本斯的赞助人。
"Servient, Abbé de",Abbé de Servien,Person,"[OCR Fix] 修复乱码 ""Abb谷"" 为 ""Abbé""。"
Servizio particolare,Servizio particolare (Concept),Concept/Work,"[Category Fix] ""特殊服务/任务""，外交或宫廷术语。"
"Shaftesbury, 1st Earl of","Anthony Ashley Cooper, 1st Earl of Shaftesbury",Person,[Disambiguation] 补全全名。
"Shaftesbury, 3rd Earl of","Anthony Ashley Cooper, 3rd Earl of Shaftesbury",Person,[Disambiguation] 著名哲学家。
"Skala, Giovanni Dubravio",Jan Skála z Doubravky (Dubravius),Person,[Disambiguation] 拉丁名 Johannes Dubravius。
Social position of the artist,Social Position of the Artist,Concept/Work,[Category Fix] 社会学概念。
Soderini family,Soderini family,Group,[Category Fix] 误标为地点，应为家族。
"Spanish Succession, War of",War of the Spanish Succession,Event/Work,[Standardization] 历史事件。
Spanish patronage,Spanish Patronage,Concept/Work,[Category Fix] 艺术赞助概念。
"St Petersburg, Venetian artists in",Venetian Artists in St Petersburg,Group,[Category Fix] 误标为人物，实为群体/现象。
"Stael, Cornelius de",Cornelius de Stael,Person,[Formatting] 标准格式。
"Stanislas Poniatowski, King of Poland",Stanisław II Augustus,Person,[Standardization] 波兰末代国王。
"Stazio, Andrea",Andrea Stazio,Person,[Formatting] 标准格式。
Stoicism in 17th century,Stoicism,Concept/Work,[Category Fix] 哲学流派。
"Storer, Cristoforo",Johann Christoph Storer,Person,[Disambiguation] 德国画家，意大利名 Cristoforo Storer。
"Styles, Benjamin",Benjamin Styles,Person,[Formatting] 南海公司董事，Moor Park 拥有者。
Superstition in Rome,Superstition in Rome,Concept/Work,[Category Fix] 误标为地点，实为文化现象。
"Tarso, Archbishop of",Archbishop of Tarsus,Person,[Category Fix] 误标为作品。可能是指某位领衔大主教。
"Tencala, Cristoforo",Cristoforo Tencalla,Person,"[OCR Fix] ""Tencala"" -> ""Tencalla""。"
Titles granted to artists,Titles Granted to Artists,Concept/Work,[Category Fix] 社会地位概念。
"Toni, Don Pietro Antonio",Pietro Antonio Toni,Person,[Formatting] 标准格式。
"Toninotto, Padre Giuseppe",Giuseppe Toninotto,Person,[Formatting] 标准格式。
"Uccelli, Ferdinando",Ferdinando Uccelli,Person,[Formatting] 标准格式。
"Udney, John",John Udny,Person,"[OCR Fix] ""Udney"" -> ""Udny"" (英国领事，艺术商)。"
"Urbino, Francesco Maria della Rovere, Duke of",Francesco Maria II della Rovere,Person,[Standardization] 乌尔比诺公爵。
"Urbino, devolution to Papacy",Devolution of Urbino to Papacy,Event/Work,[Standardization] 历史事件。
"Utrecht, Treaty of",Treaty of Utrecht,Event/Work,[Standardization] 历史事件。
"Vacchelli, Giuliano",Giuliano Vacchelli,Person,[Formatting] 标准格式。
"Valentin, art dealer",Valentin (Art Dealer),Person,[Status] 可能是指名为 Valentin 的画商（如 Valentin de Boulogne 的亲属或同名者），保留描述。
"Valeriani, Domenico and Giuseppe",Domenico Valeriani / Giuseppe Valeriani,Person,[Split Required] 需拆分。兄弟画家。
"Valeriano, Padre",Giuseppe Valeriano,Person,[Disambiguation] 耶稣会士/建筑师 Padre Valeriano。
Valmarana family,Valmarana family,Group,[Category Fix] 误标为地点，应为家族。
"Valmarana, Leonardo",Leonardo Valmarana,Person,[Formatting] 维琴察贵族。
"Vandières, Marquis de (later Marquis de Marigny)","Abel-François Poisson, marquis de Marigny",Person,[Disambiguation] 庞巴度夫人的弟弟。
"Vanetti, Valerio",Valerio Vanetti,Person,[Formatting] 可能是误拼，待考 (可能是 Valerio Villareale?)，暂保留。
"Vassalli, Alessandro",Alessandro Vassalli,Person,[Formatting] 标准格式。
Vatican palace,Apostolic Palace (Vatican),Place,[Standardization] 梵蒂冈宫。
"Veith, Giovanni Adalbertho",Giovanni Adalberto Veith,Person,[Formatting] 可能是德国/奥地利人名 Johann Adalbert Veith 的意大利化。
"Venezia, Padre Antonio da",Padre Antonio da Venezia,Person,[Formatting] 可能是方济各会士或传教士。
"Venturi, Professor Franco",Franco Venturi,Person,[Formatting] 历史学家。
"Visconti, Antonio Maria",Antonio Maria Visconti,Person,[Formatting] 标准格式。
"Wael, Cornelius de",Cornelis de Wael,Person,[Standardization] 佛兰芒画家。
"Wael, Jean-Baptiste de",Jan Baptist de Wael,Person,[Standardization] 佛兰芒画家。
"Waldstein, Count of",Count of Waldstein,Person,[Status] 需结合上下文确定具体人物。
"Wars of late 17th century, influence on art patronage",Influence of Wars on Art Patronage,Concept/Work,[Category Fix] 艺术社会学概念。
"White Hill, Battle of",Battle of White Mountain,Event/Work,[Standardization] 历史事件 (Battle of White Mountain)。
Widmann country house,Villa Widmann,Place,[Standardization] 威尼斯贵族别墅。
"Zambeccari, Marchesa Eleonora",Eleonora Zambeccari,Person,[Category Fix] 修正分类。
Zambelli family,Zambelli family,Group,[Category Fix] 误标为地点，应为家族。
"Zanetti, A. M., the Elder",Anton Maria Zanetti the Elder,Person,[Disambiguation] 威尼斯鉴赏家 (1680–1767)。
"Zanetti, A. M., the Younger",Anton Maria Zanetti the Younger,Person,[Disambiguation] 威尼斯图书馆员 (1706–1778)。
"Zanotti, F. M.",Francesco Maria Zanotti,Person,[Disambiguation] 波洛尼亚哲学家。
"Zen, Procurator Alessandro",Alessandro Zen,Person,[Formatting] 威尼斯官员。
Zenobio family,Zenobio family,Group,[Category Fix] 误标为地点，应为家族。
Zenobio palace,Palazzo Zenobio,Place,[Category Fix] 误标为地点 (Reclassified)，实为建筑。
"den Einden, Ferdinand van",Ferdinand van den Einden,Person,[Formatting] 早期弗兰德斯商人/收藏家。
"den Einden, Jan van",Jan van den Einden,Person,[Formatting] 早期弗兰德斯商人/收藏家。
A.M. Zanetti the Elder with Gerini,A.M. Zanetti the Elder with Gerini (Double Portrait),Work,[Disambiguation] 可能是肖像画。
Abigail giving Presents to David,Abigail giving Presents to David (Painting),Work,[Category Fix] 绘画主题/作品。
Academy at Parma,Academy of Fine Arts of Parma,Organization,[Category Fix] 机构。
Accademia dei Cacadubbi,Accademia dei Cacadubbi,Organization,[Status] 18世纪威尼斯的一个小型/幽默性质的学院/社团。
Accbremia Albrizziana,Accademia Albrizziana,Organization,"[OCR Fix] ""Accbremia"" -> ""Accademia""。"
Achille Bosisio,Achille Bosisio,Person,[Category Fix] 误标为作品。可能是指同名作家或其作品集。
Aedes Barberina ad Quirinalem,Aedes Barberinae ad Quirinalem (Book),Work,[Category Fix] 误标为地点。Tetius 的书。
Albergo del Moretto,Albergo del Moretto,Place,[Status] 威尼斯旅馆名。
Alessandro Vasalli,Alessandro Vassalli,Person,"[OCR Fix] ""Vasalli"" -> ""Vassalli""。误标为地点。"
Alfredo Bardella,Alfredo Bardella,Person,[Status] 可能是 19/20世纪人物 (如插画家?)，出现在索引中可能是作为作者/来源。
Alice Binion,Alice Binion,Person,[Category Fix] 误标为作品。艺术史学家。
Allegory of Clemency,Allegory of Clemency (Painting),Work,[Category Fix] 误标为地点。
Allegory of Coral fishing,Allegory of Coral Fishing (Painting),Work,[Category Fix] 误标为人物。Jacopo Zucchi 的作品？
Allegory of the Education of the Crown of the Palatinate,Allegory of the Education of the Crown of the Palatinate (Painting),Work,[Category Fix] 误标为人物。
Altar Paintings for the Parish Church of San Canciano,Altar Paintings for San Canciano,Work,[Category Fix] 误标为人物。
Altar of Friendship,Altar of Friendship (Motif/Work),Work,[Disambiguation] 常见于 Boucher 等人的作品主题。
Altar of Friendship,Altar of Friendship (Motif/Work),Work,[Duplicate] 重复条目。
Altar of Tranquility and Rural Life,Altar of Tranquility and Rural Life (Work),Work,[Category Fix] 误标为人物。
Altar of Wealth and Apollo,Altar of Wealth and Apollo (Work),Work,[Status] 作品名。
Altarpiece for Chiesa Nuova,Altarpiece for Chiesa Nuova,Work,[Status] 可能是 Rubens 的作品。
Altarpiece for Santa Maria dei Cappuccini,Altarpiece for Santa Maria dei Cappuccini,Work,[Category Fix] 误标为地点。
Altarpiece for Saint Sebastian,Altarpiece for Saint Sebastian,Work,[Status] 通用作品描述。
Altarpiece for the Augustinian Church,Altarpiece for the Augustinian Church,Work,[Status] 通用作品描述。
Altarpieces for the Royal Chapel,Altarpieces for the Royal Chapel,Work,[Status] 通用作品描述。
Andromache weeping before Aeneas,Andromache weeping before Aeneas (Painting),Work,[Status] 绘画主题。
Angelica Griè,Angelica Grill,Person,"[OCR Fix] ""Gri豕"" -> ""Grill""。误标为作品。"
Angels carrying the Instruments of the Passion and of Saint Philip in Ecstasy,Angels carrying the Instruments of the Passion... (Painting),Work,[Status] 作品名。
Animals and Figures in the Flemish Style,Animals and Figures in the Flemish Style,Work,"[Formatting] 去除法语翻译 ""des animaux...""。"
Annamaria Gabrielli,Annamaria Gabrielli,Person,[Category Fix] 误标为作品。
Annan Gallery,Annan Gallery,Organization,[Category Fix] 误标为人物。画廊。
Antichiesetta,Antichiesetta,Place,[Status] 威尼斯地点 (San Polo)。
Antichita di Palazzi,Antichità di Palazzi (Book/Series),Work,"[OCR Fix] 可能是 ""Antichità di Roma"" 或类似出版物的 OCR 错误，或者是特定宫殿的古迹集。"
Anton Francesco Goli,Anton Francesco Goli,Person,[Status] 未知人物，可能是误拼。
Antonio Paluello,Antonio Paluello,Person,[Category Fix] 误标为地点。可能是威尼斯建筑师或工匠。
Antonio Pitteri,Antonio Pitteri,Person,[Category Fix] 误标为地点。威尼斯版画商/艺术家 (Giovanni Marco Pitteri?)。
Apollo conducting Frederick Barbarossa's bride: Beatrice of Burgundy,Apollo conducting Frederick Barbarossa's bride... (Fresco),Work,[Status] Tiepolo 的壁画主题 (Würzburg)。
Apostolic Chamber of Commerc,Apostolic Chamber of Commerce (Congregazione),Organization,"[OCR Fix] ""Commerc"" -> ""Commerce""。可能是指教皇国的贸易管理机构。"
Apotheosis of the Pisani,Apotheosis of the Pisani Family (Fresco),Work,[Category Fix] 误标为人物。Tiepolo 在 Villa Pisani 的壁画。
Arch. del Gov. di Roma,Archivio del Governatorato di Roma,Organization,[Disambiguation] 罗马总督府档案馆。
Archivio Comunale di Treviso,Archivio Comunale di Treviso,Organization,[Category Fix] 误标为作品。
Archivio Mediceo,Archivio Mediceo,Organization,[Category Fix] 误标为地点。美第奇档案馆。
Archivio Storico per la Province Napoletane,Archivio Storico per le Province Napoletane,Work/Journal,"[OCR Fix] ""la Province"" -> ""le Province""。期刊名。"
Archiviodella Compagnia di Gesù,Archivio della Compagnia di Gesù,Organization,"[OCR Fix] ""Archiviodella"" -> ""Archivio della"", ""Ges迄"" -> ""Gesù""。耶稣会档案馆。"
Ariadne being woken by Love,Ariadne being woken by Love (Painting),Work,[Category Fix] 误标为地点。
Arnaldi Lodovico,Lodovico Arnaldi,Person,[Formatting] 倒装修复。误标为地点。
Art Institute of Chicago Robert A. Waller Fund,Art Institute of Chicago (Robert A. Waller Fund),Organization,[Category Fix] 误标为地点。机构+基金。
"Arts Graphiques de la Cité,Agraci",Arts Graphiques de la Cité (Agraci),Organization,"[OCR Fix] ""Cit谷"" -> ""Cité""。出版商/机构。"
Augustinian Monastery Altarpiece,Augustinian Monastery Altarpiece,Work,[Status] 通用描述。
Barberini Chapel in San Andrea della Valle,Barberini Chapel (Sant'Andrea della Valle),Place,[Category Fix] 误标为人物。
Barberini Chapelin SanAndreadella Valle),Barberini Chapel (Sant'Andrea della Valle),Place,[OCR Fix] 修复空格和括号。
Barberini library,Barberini Library,Organization/Place,[Status] 机构。
Basilica of Santa Cecilia in Bologna,Basilica of Santa Cecilia (Bologna),Place,[Category Fix] 误标为作品。Oratorio di Santa Cecilia?
Batlisheba Bathing,Bathsheba Bathing (Painting),Work,"[OCR Fix] ""Batlisheba"" -> ""Bathsheba""。"
Battaria di Cusina,Batteria di Cucina,Work/Object,"[OCR Fix] ""Battaria di Cusina"" -> ""Batteria di Cucina"" (Kitchenware/Set of pots, 艺术品清单中常见)。"
Battistela,Battistella,Person,"[OCR Fix] ""Battistela"" -> ""Battistella"" (可能指 Antonio Battistella 或其他)。误标为地点。"
Beatae Mariae Virginis Officium,Officium Beatae Mariae Virginis,Work,[Category Fix] 误标为地点。祈祷书。
Beggar holding a Rosary,Beggar holding a Rosary (Painting),Work,[Status] 作品名。
Bell Towers for Saint Peter's Basilica (demolished),Bell Towers for St. Peter's (Bernini),Work,[Status] 贝尼尼设计的钟楼。
Bensburg Castle,Bensberg Castle,Place,"[OCR Fix] ""Bensburg"" -> ""Bensberg"" (Schloss Bensberg)。"
Bergamasque community,Bergamasque Community,Group,[Category Fix] 误标为作品。
Biblioceca Estense,Biblioteca Estense,Organization,"[OCR Fix] ""Biblioceca"" -> ""Biblioteca""。"
Biblioteca Correr,Biblioteca del Museo Correr,Organization,[Category Fix] 误标为作品。
Biblioteca Govemadva,Biblioteca Governativa,Organization,"[OCR Fix] ""Govemadva"" -> ""Governativa""。误标为地点。"
Harold von Hocheim being invested with the princedom by the Emperor in 1163,Harold von Hocheim (Investiture),Event/Work,[Standardization] 历史事件/绘画主题。Harold von Hocheim 即 St. Albert of Jerusalem (Albert Avogadro) 的误称或特定绘画描述。
Boyle/Locke/Sydenham,Boyle / Locke / Sydenham,Person,"[Split Required] 需拆分。指 Robert Boyle, John Locke, Thomas Sydenham (可能是一组肖像或半身像)。"
Brutus killing Arruns,Brutus killing Arruns (Painting),Work,[Category Fix] 误标为地点。绘画主题。
Bust of Francis Bacon,Bust of Francis Bacon,Work,[Category Fix] 误标为地点。雕塑。
Bust of Paolo Renier,Bust of Paolo Renier,Work,[Category Fix] 误标为人物。雕塑。
Bust of Phocion,Bust of Phocion,Work,[Status] 雕塑。
Caesar and the Corsairs of Cilicia,Caesar and the Corsairs of Cilicia (Painting),Work,[Status] 绘画主题。
Caiano Ferdinand,Grand Prince Ferdinando de' Medici (at Poggio a Caiano),Person,[Disambiguation] 指 Ferdinando de' Medici (Grand Prince)，常驻 Poggio a Caiano。
Calabrian national church,Calabrian National Church (San Francesco di Paola ai Monti),Place,[Disambiguation] 罗马的卡拉布里亚人教堂。
Caprizi Copiosi di Figure,Capricci Copiosi di Figure (Book/Etchings),Work,"[OCR Fix] ""Caprizi"" -> ""Capricci""。"
Capuchin church in Rome,Santa Maria della Concezione dei Cappuccini,Place,[Category Fix] 误标为作品。罗马嘉布遣会教堂。
Mazarin in His Gallery,Cardinal Mazarin in His Gallery (Painting),Work,[Category Fix] 误标为人物。
Caricature of Cassiano dal Pozzo,Caricature of Cassiano dal Pozzo,Work,[Category Fix] 误标为地点。
Carlo Baccinelli,Carlo Baccinelli,Person,[Category Fix] 误标为作品。可能是18/19世纪人物。
Carlo Grimaldo,Carlo Grimaldi,Person,"[OCR Fix] ""Grimaldo"" -> ""Grimaldi"" (可能是 Carlo Grimaldi, 建筑师/音乐家)。误标为地点。"
Carlo Quarismini,Carlo Quarismini,Person,[Status] 18世纪威尼斯相关人物。
Carro Della Notte,Il Carro della Notte (Painting),Work,"[Status] ""夜之车""，绘画主题。"
Casa Soster,Casa Soster,Place,[Category Fix] 误标为人物。威尼斯建筑。
Castel Cogolo,Castel Cogolo,Place,[Category Fix] 误标为人物。地名。
Castello Sfarzesco,Castello Sforzesco,Place,"[OCR Fix] ""Sfarzesco"" -> ""Sforzesco""。误标为人物。"
Castle of Cogolo,Castle of Cogolo,Place,[Category Fix] 误标为作品。同 Castel Cogolo。
Cathedral of Rome,Basilica of St. John Lateran,Place,[Disambiguation] 罗马的主教座堂是拉特朗圣若望大殿。
Cattedrale Chiesa di Parenzo,Euphrasian Basilica (Poreč/Parenzo),Place,[Standardization] 帕伦佐主教座堂。
Dello speron d'oro,Order of the Golden Spur,Organization/Concept,[Category Fix] 误标为地点。金马刺骑士团。
Ceiling Frescoes in Palazzo Altieri,Ceiling Frescoes in Palazzo Altieri,Work,[Status] Carlo Maratta 等人的作品。
Ceiling Frescoes in the Quirinal Palace Gallery,Ceiling Frescoes in the Quirinal Palace,Work,[Category Fix] 误标为地点。
Ceiling Paintings at Hampton Court,Ceiling Paintings at Hampton Court,Work,[Category Fix] 误标为地点。Verrio 等人的作品。
Ceiling fresco of the Augustinian Church,Ceiling fresco of the Augustinian Church,Work,[Category Fix] 误标为人物。
Ceiling of Palazzo Doria-Pamphili,Ceiling of Palazzo Doria Pamphilj,Work,[Status] Pietro da Cortona 等人的作品。
Ceremonies of the Grand,Ceremonies of the Grand (Duke/Master?),Event/Work,"[Status] 可能是 ""Ceremonies of the Grand Duke"" 的截断。"
Chapel of Saint Stanislaus Kostka,Chapel of Saint Stanislaus Kostka,Place,[Category Fix] 误标为作品。位于 Sant'Andrea al Quirinale。
Charles Fran ois de Saint Saulieu,Charles-François de Saint-Saulieu,Person,[OCR Fix] 修复乱码。误标为作品。
Chiesa de' Servi,Chiesa dei Servi (Venice/Bologna),Place,[Category Fix] 误标为作品。
Christ and St Veronica,Christ and St Veronica (Painting),Work,[Category Fix] 误标为人物。
Christ driving the Jews from the Temple,Christ Driving the Money Changers from the Temple,Work,[Category Fix] 误标为地点。绘画主题。
Christ in the Boat calming His Disciples,Christ Calming the Storm (Painting),Work,[Category Fix] 误标为人物。
Church Great WitleyWatson,Great Witley Church (St Michael and All Angels),Place,[Disambiguation] 位于 Great Witley 的教堂。
Church of Santa Maria Rotonda,Pantheon (Santa Maria ad Martyres),Place,[Disambiguation] 罗马万神殿的教会名称。误标为作品。
Church of the Apostoli,Santi Apostoli (Venice/Rome),Place,[Category Fix] 误标为作品。
Cincinnatus summoned from the Plough,Cincinnatus Summoned from the Plough (Painting),Work,[Status] 绘画主题。
Coggio Pittoni,Coggio Pittoni (Misreading),Person,"[Review] 极可能是 ""Orazio Pittoni"" 或 ""Giambattista Pittoni"" 的 OCR 错误/误读 (Coggio vs Orazio?)。"
Coggioh Pittoni,Coggio Pittoni (Misreading),Person,[Review] 同上。
Collegio di Siena,Collegio di Siena,Organization,[Category Fix] 误标为地点。
Consiglio del Consorzio,Consiglio del Consorzio,Organization,[Category Fix] 误标为作品。
Conte Carpegna,Count Carpegna (Gaspare Carpegna?),Person,[Disambiguation] 可能是红衣主教 Gaspare Carpegna。
Conte Tassis,Count Tassis (Thurn und Taxis),Person,[Disambiguation] 塔西斯伯爵。
Copy of Annibale Carracci's Works,Copy of Annibale Carracci's Works,Work,[Category Fix] 误标为地点。
Copy of Raphael's Loggias,Copy of Raphael's Loggias,Work,[Category Fix] 误标为地点。
Correr Library,Biblioteca del Museo Correr,Organization,[Category Fix] 误标为人物。
Corti Guido,Guido Corti,Person,[Formatting] 倒装。
The Imperial ambassador of Bolagno,The Imperial Ambassador of Bologna,Person,"[OCR Fix] ""Bolagno"" -> ""Bologna""? 或者 ""Bolagnos"" (Count Bolagnos)。误标为作品。"
Couvent des Augustins Déchaussés,Couvent des Augustins Déchaussés,Place,[OCR Fix] 修复乱码。巴黎奥斯定会修道院。误标为作品。
Creusa imploring Aeneas to rescue his father Anchises from the fire of Troy,Creusa Imploring Aeneas... (Painting),Work,[Category Fix] 误标为地点。
Dance of Nymphs,Dance of Nymphs (Painting),Work,[Category Fix] 误标为人物。
Death of Saint Francis Xavier,Death of Saint Francis Xavier (Painting),Work,[Category Fix] 误标为人物。
Decorations for Saint Augustine Church,Decorations for Saint Augustine Church,Work,[Category Fix] 误标为地点。
Decorative Paintings for Pisa Residence,Decorative Paintings for Pisa Residence,Work,[Status] 通用描述。
Dedicatory Frontispiece to Etchings,Dedicatory Frontispiece to Etchings,Work,[Status] 版画卷首插图。
Della Lena,Della Lena,Person,[Category Fix] 误标为作品。可能是 Innocenzo della Lena (18世纪医生/文人)。
Design for Sant'Andrea al Quirinale,Design for Sant'Andrea al Quirinale,Work,[Status] 建筑设计图。
Design for Saint Peter's Square,Design for Saint Peter's Square,Work,[Status] 建筑设计图。
Didwich,Didwich,Place,"[Review] 可能是地名 ""Dulwich"" (画廊) 的 OCR 错误？"
Directors of Chatto & Windus,Directors of Chatto & Windus,Group,[Category Fix] 误标为人物。出版商。
"Divine Virtues, Faith, Hope, Charity and Wisdom",Divine Virtues (Painting),Work,[Status] 寓意画。
Dome Frescoes of Sant'Agnese in Agone,Dome Frescoes of Sant'Agnese in Agone,Work,[Status] Ciro Ferri 的作品。
Domenico Darmanno,Domenico Darmanno,Person,[Category Fix] 误标为地点。
Domenico da Isnello,Domenico da Isnello,Person,[Category Fix] 误标为地点。
Cesare Leopardi d`Osimo,Cesare Leopardi di Osimo,Person,"[OCR Fix] 修复符号 ""`""。误标为作品。"
Giovanni Domenico Brustoloni,Giovanni Domenico Brustoloni,Person,[Category Fix] 误标为作品。版画师。
Drawings of Sagredo Family Members,Drawings of Sagredo Family Members,Work,[Category Fix] 误标为人物。
Dream of St Joseph,Dream of St Joseph (Painting),Work,[Category Fix] 误标为人物。
Duplex Intercessio,Duplex Intercessio (Painting),Work,[Category Fix] 误标为人物。宗教绘画主题 (双重代祷)。
Edgar de Vaes,Edgar de Vaes,Person,[Status] 20世纪人物 (外交官/收藏家?)，可能作为来源出现。
Edgwareand,Edgware and (Canon's Park?),Place,"[OCR Fix] ""Edgwareand"" -> ""Edgware and""。"
Edoardo Lombardo,Edoardo Lombardo,Person,[Category Fix] 误标为作品。
Elena Crinò,Elena Crinò,Person,"[OCR Fix] ""Crin辰"" -> ""Crinò""。误标为作品。"
Eleonora Zambeccari,Eleonora Zambeccari,Person,[Status] 波洛尼亚贵族。
Elijah carried to Heaven in a Chariot of Fire,Elijah carried to Heaven... (Painting),Work,[Category Fix] 误标为地点。
Elizabetta Antoniazzi Rossi,Elisabetta Antoniazzi Rossi,Person,"[OCR Fix] ""Elizabetta"" -> ""Elisabetta""。"
Emile Baudson,Émile Baudson,Person,[Formatting] 法国艺术史学家。
Enrico Brol,Enrico Broli,Person,"[OCR Fix] ""Brol"" -> ""Broli"" (可能)。"
The Imperial ambassador Entry of the of Colloredo,Entry of the Imperial Ambassador Colloredo,Event/Work,[OCR Fix] 重组语序。Colloredo 大使进入威尼斯的仪式 (Carlevarijs 绘画)。
Estella Brunetti,Estella Brunetti,Person,[Status] 20世纪人物 (肖像?)。
Etchings of Oriental-style Heads,Etchings of Oriental-style Heads,Work,[Category Fix] 误标为人物。Castiglione 或 Tiepolo 的作品。
European scientific societies,European Scientific Societies,Group,[Category Fix] 误标为人物。
Fabio de Fabiis,Fabio de Fabiis,Person,[Status] 威尼斯/帕多瓦贵族。
Fabrizio Tarso,Fabrizio Tarso,Person,"[Status] 可能指 Fabrizio Pignatelli, Prince of Tarso? 需核实。"
Facade of San Maria del Giglio,Facade of Santa Maria del Giglio,Place,[Category Fix] 误标为作品。威尼斯教堂立面。
Faith crushing Idolatry,Faith Crushing Idolatry (Sculpture/Painting),Work,[Category Fix] 误标为地点。Theodon 的雕塑。
Fame Carrying the Name of Louis XIV to the Temple of Immortality,Fame Carrying the Name of Louis XIV... (Painting),Work,[Category Fix] 误标为人物。
Fame inscribing the glories of Louis XIV on the shoulders of Time,Fame Inscribing the Glories of Louis XIV... (Painting),Work,[Category Fix] 误标为人物。
Family Chapels in Santa Maria Maggiore,Family Chapels in Santa Maria Maggiore,Place,[Category Fix] 误标为作品。
Family of Darius before Alexander the Great,Family of Darius before Alexander (Painting),Work,[Status] Veronese 或 Tiepolo 的作品。
Fantastical Heads in the Manner of Giorgione,Fantastical Heads in the Manner of Giorgione (Etchings),Work,[Status] Pietro della Vecchia 风格作品。
Federico Correr Lorenzetti,Federico Correr Lorenzetti,Person,[Category Fix] 误标为作品。
Flight of Aeneas from Troy,Flight of Aeneas from Troy (Painting),Work,[Category Fix] 误标为地点。
Fondamenta Foscarini,Fondamenta Foscarini,Place,[Category Fix] 误标为作品。威尼斯街道。
Fondo di Gesù,Fondo di Gesù,Collection/Archive,"[OCR Fix] ""Ges迄"" -> ""Gesù""。耶稣会基金/档案。误标为作品。"
Fortune under the control of Virtue,Fortune under the control of Virtue (Painting),Work,[Category Fix] 误标为人物。
"Fortune under the control of Virtue, Justice and Peace",Fortune under the control of Virtue... (Painting),Work,[Status] 绘画主题。
Francesco Drach,Francesco Drach,Person,[Category Fix] 误标为地点。可能指画商或小画家。
Francesco Griseri,Francesco Griseri,Person,[Category Fix] 误标为地点。建筑师/艺术家。
Francesco Panciatichi,Francesco Panciatichi,Person,[Category Fix] 误标为作品。佛罗伦萨参议员/赞助人。
Francesco Scaramuccia,Francesco Scaramuccia,Person,[Category Fix] 误标为作品。可能指 Luigi Scaramuccia?
Palazzo Fresco on staircase of Hampton Court,Frescoes on the Staircase of Hampton Court,Work,[Category Fix] 误标为人物。Verrio 的壁画。
Frescoes in Lanfranco Cathedral,Frescoes in Lanfranco's Cathedral (Modena/Parma?),Work,[Category Fix] 误标为人物。可能是指 Lanfranco 在某教堂的壁画，或地点错误。
Frescoes in Palazzo Barberini Salone,Frescoes in Palazzo Barberini (Salone),Work,[Category Fix] 误标为人物。Pietro da Cortona。
Frescoes in Sant'Andrea della Valle,Frescoes in Sant'Andrea della Valle,Work,[Category Fix] 误标为人物。Domenichino/Lanfranco。
Frescoes in the Corsini Chapel,Frescoes in the Corsini Chapel,Work,[Category Fix] 误标为地点。
Frescoes in the Palace at Valmontone,Frescoes in Palazzo Doria-Pamphilj (Valmontone),Work,[Status] Mola/Preti。
Fulvio Miari,Fulvio Miari,Person,[Category Fix] 误标为作品。
G.M. Sasso,Giovanni Maria Sasso,Person,[Category Fix] 误标为作品。威尼斯艺术商。
Galleria Giustiniani,Galleria Giustiniani,Collection/Work,[Status] 尤斯蒂尼亚尼收藏/图录。
