Refined_Formal_Name,Original-QID,Second-Query_QID,Original-Refined_Category,Original-Status/Notes,Second-Query_Label,Second-Query_Description,Second-Query_Logic
Claude Mellan,Q1274026,Q1274026,Person,[Validation] 法国版画家。,Claude Mellan,French painter and engraver (1598–1688),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Claude-Joseph Vernet,,Q315819,Person,[Disambiguation] 法国风景画家。,Joseph Vernet,French painter and engraver from Avignon (1714-1789),"High Confidence - Score: 98.8 (Sim: 0.79, Cat: Match)"
Claudio Acquaviva,Q681779,Q681779,Person,[Reconstruction] 耶稣会总会长。 | [Validation] 耶稣会总会长。,Claudio Acquaviva,Superior General of the Society of Jesus,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Claudio Monteverdi,Q53068,Q53068,Person,[Validation] 作曲家。,Claudio Monteverdi,"Italian composer, string player, choirmaster, and priest (1567–1643)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Clelia Farnese,Q2978781,Q2978781,Person,[Validation] 法尔内塞家族成员。,Clelia Farnese,Italian noblewoman (1556-1613),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Clemens August of Bavaria,Q215086,Q215086,Person,[Category Fix] 原文误标为 Man-Made Object。科隆选帝侯。 | [Category Fix] 原文误标为 Work。 | [Validation] 科隆选帝侯。,Clemens August of Bavaria,Catholic archbishop (1700-1761),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Clement III,Q171001,Q171001,Person,[Validation] 教皇 (Antipope or Pope? 通常指12世纪教皇，此处可能指对立教皇Wibert或正统。若在18世纪语境，可能是指画作题材)。,Clement III,pope of the Catholic Church from 1188 to 1191,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Clement IX,Q155961,Q155961,Person,[Validation] 教皇。 | 教皇克莱门特九世。,Clement IX,"pope from 1667, lived 1600-1669","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Clement VIII,,Q170395,Person,[Disambiguation] 教皇克莱门特八世。 | [Validation] 教皇。,Clement VIII,pope of the Catholic Church from 1592 to 1605 (1536–1605),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Clement X,,Q155956,Person,[Disambiguation] 教皇克莱门特十世。,Clement X,pope of the Catholic Church from 1670 to 1676,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Clement XI,Q129967,Q129967,Person,[Disambiguation] 教皇克莱门特十一世。 | [Validation] 教皇。,Clement XI,pope of the Catholic Church from 1700 to 1721,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Clement XII,,Q133108,Person,[Disambiguation] 教皇克莱门特十二世。 | [Validation] 教皇。,Clement XII,pope of the Catholic Church from 1730 to 1740,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Clement XIII,,Q133121,Person,[Validation] 教皇。 | 教皇克莱门特十三世。,Clement XIII,pope of the Catholic Church from 1758 to 1769,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Clement XIII (Carlo Rezzonico),,Q133121,Person,[Disambiguation] 教皇克莱门特十三世。,Clement XIII,pope of the Catholic Church from 1758 to 1769,Advanced Match via 'Clement XIII': Score 100.0 (Neutral)
Cleopatra VII,Q635,Q635,Person,[Validation] 埃及艳后。,Cleopatra,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,"Medium Confidence - Score: 81.8 (Sim: 0.82, Cat: Neutral)"
Cleopatra showing Octavius the bust of Julius Caesar,Q124102335,Q124102335,Work,"[Validation] 绘画主题 (Batoni, Guercino等)。",Cleopatra showing Octavius the bust of Julius Caesar,painting by Pompeo Batoni,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Clio,,Q5059304,Person (Myth),[Validation] 缪斯女神。,Clio,genus of molluscs,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Cloudesley Shovell,Q1102640,Q1102640,Person,[Validation] 英国海军元帅。,Cloudesley Shovell,English naval officer; (1650-1707),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Clovis Whitfield,Q5136005,Q76066165,Person,[Validation] 艺术史学家。,Clovis Whitfield,Peerage person ID=507028,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Coast Scene with the Landing of Aeneas in Latium,Q119756834,Q119756834,Work,[Validation] 克劳德·洛兰画作。,Coast Scene with the Landing of Aeneas in Latium,"painting by Claude Lorrain (1604–1682) (after), Shipley Art Gallery","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Coast View with Apollo and the Cumaean Sibyl,Q21725334,Q21725334,Work,[Validation] 克劳德·洛兰画作。,Coast View with Apollo and the Cumaean Sibyl,painting by Claude (Gellée) Lorrain,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Coast View with Perseus and the Origin of Coral,Q125396571,Q125396571,Work,[Validation] 克劳德·洛兰画作。,Coast View with Perseus and the Origin of Coral,painting by Claude Lorrain,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Coggio Pittoni,,,Person,[OCR Fix] 同上。,,,No results found
Coggio Pittoni (Artist?),,,Person,"[Check Original] 可能是 ""Giovanni Battista Pittoni"" 的 OCR 乱码或极生僻人物。疑似 ""Cugino Pittoni"" (Pittoni 的表亲) 或误拼。待定。",,,No results found
Colen Campbell,Q254245,Q254245,Person,[Validation] 英国建筑师 (Vitruvius Britannicus)。,Colen Campbell,Scottish architect and architectural writer (1676–1729),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Collegio Teutonico,Q19816518,Q19816518,Place,[Validation] 罗马德意志学院。,Collegio Teutonico,German Pontifical College in Rome,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Collegio di Siena,,,Place,[Validation] 锡耶纳学院。,,,No results found
Collegium Germanicum et Hungaricum,Q868294,Q868294,Place,[Validation] 罗马神学院。,Collegium Germanicum et Hungaricum,"Roman Catholic seminary in Rome, Italy (1552-)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Competitions,,Q114516867,Event/Concept,[Category Fix] 原文误标为 Work/Concept。艺术竞赛 (Concorsi)。,Competitions Gone Bad,episode of Most Shocking (S6 E8),"Medium Confidence - Score: 72.7 (Sim: 0.73, Cat: Neutral)"
Congregazione dei Virtuosi al Pantheon,,,Group,[Category Fix] 万神殿艺术家协会。 | [Validation] 罗马艺术家行会。,,,No results found
Consiglio del Consorzio,,,Organization,[Validation] 机构/委员会。,,,No results found
Constantinople,Q16869,Q16869,Place,[Validation] 君士坦丁堡。,Constantinople,"capital of the Eastern Roman, Latin and Ottoman Empires, currently Istanbul, Turkey","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Contarini (Family),,Q4231625,Group,[Validation] 威尼斯家族。,Contarini,Wikipedia Page Match,Advanced Match via 'Contarini': Score 105.0 (Neutral)
Conte Carpegna,,,Person,[Validation] 卡佩尼亚伯爵。,,,No results found
Conte Cavazza,,,Person,[Validation] 博洛尼亚/威尼斯贵族。,,,No results found
Conte Tassis,,Q5165074,Person,[Validation] 塔西斯伯爵。,Content assist,Wikipedia Page Match,Advanced Match via 'Conte Tassis': Score 89.6 (Neutral)
Contracts,,Q123476663,Concept,[Validation] 法律文件/艺术史研究对象。,contracts,narrative motif documented in Thompson's Motif-Index of Folk-Literature,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Copy of Annibale Carracci's Works,,,Work,[Validation] 复制品。,,,No results found
Copy of Raphael's Loggias,,,Work,[Validation] 复制品。,,,No results found
Corfu,Q121378,Q205832,Place,[Validation] 科孚岛。,Corfu,capital of the Greek island and municipality of Corfu,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Coriolano Montemagni,Q21548315,Q21548315,Person,[Validation] 托斯卡纳政治家。,Coriolano Montemagni,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Cornaro (Family),,Q61946872,Group,[Standardization] 威尼斯家族 (Corner/Cornaro)。,Cornaro,family name,Advanced Match via 'Cornaro': Score 100.0 (Neutral)
Cornaro Chapel,,Q588885,Place,[Validation] 罗马 Santa Maria della Vittoria 礼拜堂 (贝尼尼)。,Cornaro chapel,chapel in Santa Maria della Vittoria in Rome,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Cornelis Schut,Q592396,Q592396,Person,[Validation] 佛兰芒画家。 | 佛兰芒画家。,Cornelis Schut,"Flemish painter, engraver and tapestry designer (1597-1655)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Cornelis de Wael,Q251131,Q251131,Person,[Validation] 佛兰芒画家 (居热那亚/罗马)。 | 佛兰芒画家。,Cornelis de Wael,Flemish painter and engraver (1592-1667),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Cornelis van Poelenburgh,,Q247183,Person,[Validation] 荷兰画家。 | 荷兰风景画家。,Cornelius van Poelenburgh,Dutch painter (1594–1667),"High Confidence - Score: 118.0 (Sim: 0.98, Cat: Match)"
Cornelius Vermeule,,Q2997496,Person,[Validation] 古典考古学家/策展人。,Cornelis Vermeulen,Flemish printmaker,"High Confidence - Score: 94.4 (Sim: 0.94, Cat: Neutral)"
Cornelius de Stael,,,Person,,,,No results found
Corrado Giaquinto,Q740934,Q740934,Person,[Validation] 洛可可画家。,Corrado Giaquinto,Italian painter (1703-1766),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Correggio,,Q111176,Person,[Disambiguation] 柯雷乔。 | [Validation] 画家。,Correggio,Italian comune,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Corsini (Family),,Q16920502,Group,[Validation] 佛罗伦萨家族。,Corsini,Wikipedia Page Match,Advanced Match via 'Corsini': Score 105.0 (Neutral)
Corsini Chapel (Santo Spirito),,Q124100296,Place,[Validation] 佛罗伦萨礼拜堂。,Corsini chapel in Sant'Andrea,"chapel at the church of Sant'Andrea, San Casciano in Val di Pesa, Italy",Advanced Match via 'Corsini Chapel': Score 65.1 (Neutral)
Cortona Triptych,Q24531,Q24531,Work,[Validation] 安吉利科修士作品。,Cortona Triptych,depiction of the Madonna and Child with saints,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Corybantes,Q631406,Q923296,Group,[Validation] 神话群体。,Corybantes,genus of insects,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Cosimo Fanzago,Q632372,Q632372,Person,[Validation] 巴洛克建筑师/雕塑家。,Cosimo Fanzago,Italian architect and sculptor (1591-1678),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Cosimo III de' Medici,,Q125809512,Person,"[OCR Fix] ""Mediciy"" -> ""Medici""。 | 托斯卡纳大公。",Cosimo III de' Medici statue,"statue in Horti Leonini, San Quirico d'Orcia, Italy","Medium Confidence - Score: 85.7 (Sim: 0.86, Cat: Neutral)"
Cosimo Mari,,Q55836084,Person,17世纪建筑师/工程师。,Cosimo Maria Mei,,"Medium Confidence - Score: 81.5 (Sim: 0.81, Cat: Neutral)"
Cosimo Maria de' Medici,Q117804152,Q117804152,Person,"[Validation] 可能是指 Cosimo I, II, III 或家族成员。",Cosimo Maria de' Medici,Italian noble,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Cosimo Tura,Q7129,Q7129,Person,[Validation] 费拉拉画家。,Cosimo Tura,Italian painter (1430-1495),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Costaguti (Marchese),,Q56252674,Person,[Category Fix] 原文误标为 Work。,Costaguti,family name,Advanced Match via 'Costaguti': Score 100.0 (Neutral)
Costanza Magalotti,Q108433434,Q108433434,Person,[Validation] 贵族。,Costanza Magalotti,25 Jan 1575 Firenze - 15 Aug 1644 Roma,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Costanza Piccolomini d'Aragona,Q63196610,Q63196610,Person,[Validation] 贵族/Bonarelli夫人? 需区分 Costanza Bonarelli (Bernini的情人) 和此人。Costanza Piccolomini 是 Amalfi公爵夫人。,Costanza Piccolomini d'Aragona,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Council of Ten,Q547077,Q547077,Organization,[Category Fix] 原文误标为 Place。威尼斯十人委员会。,Council of Ten,Venice,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Count Rosenberg,,Q2991052,Person,可能是 Orsini-Rosenberg 家族成员。,Count of Rosenborg,Wikipedia Page Match,Advanced Match via 'Count Rosenberg': Score 89.8 (Neutral)
Count Tassis,,Q107008,Person,图恩与塔克西斯家族成员（如在威尼斯的邮政总长）。,Count Basie,Wikipedia Page Match,Advanced Match via 'Count Tassis': Score 83.3 (Neutral)
Count Waldstein,,,Person,瓦尔德施泰因家族成员。,,,No results found
Count of Bolagno,,Q1431527,Person,[Category Fix] 原文误标为 Work。,County of Boulogne,Wikipedia Page Match,Advanced Match via 'Count of Bolagno': Score 87.4 (Neutral)
Count of Monterrey,,,Person,西班牙贵族/那不勒斯总督。,,,No results found
Count-Duke of Olivares,,Q59281322,Person,西班牙首相奥利瓦雷斯伯爵-公爵。,Count-Duke of Olivares,Spanish nobility title,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Couvent des Augustins Déchaussés,,,Place,[Validation] 巴黎修道院 (Petits-Pères)。,,,No results found
Cremonese School,,,Group,[Validation] 克雷莫纳画派。,,,No results found
Crete,Q34374,Q958049,Place,[Validation] 地名。,Crete,"city in Saline County, Nebraska, United States","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Creusa imploring Aeneas,,,Work,[Validation] 绘画主题。,,,No results found
Cristoforo Dall'Acqua,Q5186480,Q5186480,Person,[Validation] 维琴察版画家。,Cristoforo Dall'Acqua,Italian engraver and painter (1734-1787),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Cristoforo Ivanovich,Q3246893,Q3246893,Person,[Validation] 威尼斯歌剧史学家。,Cristoforo Ivanovich,Venetian historian and librettist of Serb origin,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Cristoforo Monari,,Q1081139,Person,晚期巴洛克雕塑家 (Cristoforo/Cristofano)。,Cristoforo Munari,Italian painter (1667-1720),"High Confidence - Score: 114.1 (Sim: 0.94, Cat: Match)"
Cristoforo Munari,Q1081139,Q1081139,Person,[Validation] 静物画家。,Cristoforo Munari,Italian painter (1667-1720),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Cristoforo Roncalli,Q1091136,Q1091136,Person,别名 Il Pomarancio。,Cristoforo Roncalli,Italian painter (c.1553-1626),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Cristoforo Roncalli (Il Pomarancio),,Q1091136,Person,[Validation] 画家。,Cristoforo Roncalli,Italian painter (c.1553-1626),Advanced Match via 'Cristoforo Roncalli': Score 120.0 (Match)
Cristoforo Tencalla,,,Person,提契诺壁画家。,,,No results found
Cristoforo Tentori,Q18604253,Q18604253,Person,[Validation] 威尼斯历史学家。,Cristoforo Tentori,abbot and historian from Italy (1745-1810),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Cristoforo dall'Acqua,,Q5186480,Person,[Reconstruction] 名字倒装复原。,Cristoforo Dall'Acqua,Italian engraver and painter (1734-1787),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Crossing of the Red Sea,,Q27980958,Work,[Validation] 绘画主题。,Crossing of the Red Sea,painting by Cornelis de Wael,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Crucifixion,,Q20087444,Work,[Validation] 绘画主题。,Crucifixion,painting by anonymous,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Crucifixion of St. Peter,,Q3698229,Work,[Validation] 绘画主题 (Guido Reni / Caravaggio)。,Crucifixion of St. Peter,painting by Luca Giordano,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Crucifixion with the Madonna,,Q134721218,Work,[Validation] 绘画主题。,Crucifixion with the Madonna and St. John.,painting by Dario di Giovanni,"High Confidence - Score: 100.0 (Sim: 0.80, Cat: Match)"
Customs duty on pictures,,,Concept,[Validation] 经济/法律概念。,,,No results found
Cybele,Q188236,Q70392029,Person (Myth),[Validation] 女神。,Cybele,female given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Cyril Davenport,,Q16523192,Person,[Validation] 英国艺术作家/图书管理员。,Cyril James Humphries Davenport,British bibliographic historian,"Medium Confidence - Score: 65.2 (Sim: 0.65, Cat: Neutral)"
César d'Estrées,,Q1150810,Person,[Disambiguation] 法国枢机/外交官 (César) 或其兄 (François Annibal)。驻罗马通常是 César。,César d'Estrées,Catholic cardinal (1628-1714),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
D. P. Walker,,Q3447176,Person,[Validation] 历史学家 (Warburg Institute)。,D. P. Walker,British historian (1914–1985),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Dalmatia,Q528042,Q5211528,Place,[Validation] 达尔马提亚 (威尼斯领地)。,Dalmatia,place in Pennsylvania,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Danaë,,Q20000257,Work,[Validation] 绘画主题 (提香/伦勃朗等)。,Danaë,female given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Dance of Nymphs,,,Work,[Validation] 绘画主题。,,,No results found
Daniele Beltrami,Q61472577,Q61472577,Person,[Validation] 威尼斯经济史学家。,Daniele Beltrami,author (20th century),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Daniele Concina,Q3701909,Q112485041,Person,[Validation] 多明我会神学家。,Daniele Concina,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Daniele Dolfin,Q3015062,Q3014934,Person,"[Validation] 威尼斯贵族/枢机主教 (需区分 Daniele II, III, IV)。",Daniele Dolfin,Italian cardinal (1688–1762),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Daniele Dolfin (1653-1704),,Q3014934,Person,[Category Fix] 原文误标为 Work。,Daniele Dolfin,Italian cardinal (1688–1762),Advanced Match via 'Daniele Dolfin': Score 100.0 (Neutral)
Daniele Dolfin III,,,Person,[Validation] 威尼斯大使。,,,No results found
Daniele Dolfin IV,Q3014934,,Person,[Validation] 威尼斯贵族/大使。 | [Validation] 威尼斯贵族。,,,No results found
Daniele Farsetti,,Q52154232,Person,[Reconstruction] 威尼斯赞助人/作家。,Daniele Farsetti,(1725-1787),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Daniele Florio,Q55227681,Q55227681,Person,[Validation] 乌迪内诗人。,Daniele Florio,(1710-1789),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Daniello Bartoli,Q2283604,Q2283604,Person,[Validation] 耶稣会作家/历史学家。,Daniello Bartoli,Italian Jesuit cleric-scientist,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Dante Alighieri,Q1067,Q1067,Person,[Validation] 但丁。,Dante Alighieri,"Florentine poet, writer, and philosopher (c.?1265–1321)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Daphnis,Q741627,Q135361,Person (Myth),[Validation] 神话人物。,Daphnis,genus of insects,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Daphnis and Chloe,,Q318333,Work,[Category Fix] 原文误标为 Concept。朗格斯的小说或绘画主题。,Daphnis and Chloe,ancient Greek novel by Longus,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
David,Q766487,Q18057751,Person/Work,[Ambiguity] 圣经人物大卫，或米开朗基罗/贝尼尼雕塑。根据 E22 标记，应为 Work (雕塑/画作)。,David,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
David Teniers the Younger,Q335022,Q335022,Person,[Validation] 佛兰芒画家。 | 佛兰芒画家。,David Teniers the Younger,Flemish Baroque painter (1610–1690),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
David de Haen,Q5241470,Q5241470,Person,[Validation] 荷兰画家 (Caravaggisti)。,David de Haen,Dutch painter active in Rome (1585-1622),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
David with the Head of Goliath,,Q50911469,Work,[Validation] 绘画主题 (卡拉瓦乔等)。,David with the Head of Goliath,painting by Bernardo Strozzi (Szépm?vészeti 53.480),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Death,,Q4,Concept/Person (Allegory),[Validation] 寓意人物或概念。,death,permanent cessation of vital functions,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Death of Abel,,Q111987308,Work,[Validation] 绘画主题。,Death of Abel,painting by Lazzaro Pisani,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Death of Cleopatra,,Q135892996,Work,[Validation] 绘画主题。,Death of Cleopatra,painting by Denys Calvaert,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Death of Dido,Q55831023,Q55831023,Work,[Validation] 绘画主题。,Death of Dido,painting by Guercino,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Death of Regulus,,,Work,[Category Fix] Salvator Rosa 的画作。,,,No results found
Death of Seneca,Q3863245,Q3863245,Work,[Validation] 绘画主题。,Death of Seneca,painting by Luca Giordano (Louvre),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Death of St. Francis Xavier,,,Work,[Validation] 绘画主题。,,,No results found
Death of Wallenstein,,Q1742540,Work,[Validation] 绘画主题。,Wallenstein's Death,five-act play written by Friedrich Schiller,"Low Confidence - Score: 56.4 (Sim: 0.56, Cat: Neutral)"
Death of the Virgin,Q597114,Q597114,Work,[Validation] 绘画主题 (卡拉瓦乔等)。,Death of the Virgin,painting by Caravaggio in the Louvre,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Decio Azzolino,Q1181870,Q1181870,Person,[Disambiguation] 德西奥·阿佐利诺枢机。 | [Validation] 枢机主教。,Decio Azzolino,Catholic cardinal (1623-1689),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Decorations for St. Augustine Church,,,Work,[Validation] 装饰工程。,,,No results found
Decorative Paintings (Pisa),,Q18202402,Work,[Validation] 装饰绘画。,Decorative painting in Hälsingland,Wikipedia Page Match,Advanced Match via 'Decorative Paintings': Score 79.1 (Neutral)
Dedicatory Frontispiece,,,Work,[Validation] 书籍/版画卷首插图。,,,No results found
Deianira and Nessus,,Q111638991,Work,[Validation] 绘画主题 (Guido Reni等)。,Deianira and Nessus,painting by Arnold B?cklin (1827-1901),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Della Lena (Family/Person),,Q70348838,Person,[Context] 可能是 Innocenzo della Lena (威尼斯作家) 或家族。,Erik Della Penna,Wikipedia Page Match,Advanced Match via 'Della Lena': Score 74.2 (Neutral)
Democritus,Q41980,Q10882454,Person,[Validation] 哲学家。,Democritus,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Denis Diderot,Q448,Q62615724,Person,[Validation] 百科全书派哲学家。,Denis Diderot,"German article in Die Gartenlaube, 1884, no. 30","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Denis Mahon,Q3705445,Q76093327,Person,[Validation] 艺术史学家/收藏家 (Baroque specialist)。,Denis Mahon,Peerage person ID=525793,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Denis Pétau,Q1187608,Q1187608,Person,(Dionysius Petavius) 耶稣会神学家。,Denis Pétau,French Jesuit theologian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Denis Pétau (Dionysius Petavius),,Q1187608,Person,[Validation] 耶稣会神学家。,Denis Pétau,Wikipedia Page Match,Advanced Match via 'Denis Pétau': Score 105.0 (Neutral)
Denis Xavier Clément,,Q84562933,Person,[Validation] 法国传教士/作家。,Denis-Xavier Clément,,"High Confidence - Score: 95.0 (Sim: 0.95, Cat: Neutral)"
Design for Sant'Andrea al Quirinale,,,Work,[Validation] 建筑设计图。,,,No results found
Design for St. Peter's Square,,,Work,[Validation] 贝尼尼设计图。,,,No results found
Detlef Heikamp,Q23562036,Q23562036,Person,[Validation] 艺术史学家。,Detlef Heikamp,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Detroit Institute of Arts,Q1201549,Q1201549,Place/Organization,[Validation] 博物馆。,Detroit Institute of Arts,"art museum in Detroit, Michigan","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Devolution of Urbino to the Papacy,,,Event,1631年乌尔比诺归入教皇国事件。,,,No results found
Diana,Q132543,Q645412,Person (Myth),[Validation] 狩猎女神。,Diana,female given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Diana and Actaeon,,Q2528177,Work,[Validation] 绘画主题 (提香等)。,Diana and Actaeon,painting by Titian,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Diana and Actaeon (Bagnoli),,Q2528177,Work,[Validation] 特指Bagnoli别墅的壁画/画作。,Diana and Actaeon,painting by Titian,Advanced Match via 'Diana and Actaeon': Score 120.0 (Match)
Diana and Callisto,,Q3706769,Work,[Validation] 绘画主题。,Diana and Callisto,painting by Peter Paul Rubens,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Diana and Endymion,,Q106776243,Work,[Validation] 绘画主题。,Diana and Endymion,painting by Sebastiano Ricci,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Diana and her Nymphs,Q26038063,Q32234,Work,[Validation] 绘画主题。,Diana and her Nymphs,painting by Johannes Vermeer,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Dido,Q905162,Q202550,Person (Myth),[Validation] 迦太基女王。,Dido,English singer and songwriter (born 1971),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Diego Velázquez,Q297,Q297,Person,[Validation] 西班牙画家。 | 委拉斯开兹。,Diego Velázquez,Spanish painter (1599-1660),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Diego Zannandreis,Q85861816,Q85861816,Person,[Validation] 维罗纳艺术传记作家。,Diego Zannandreis,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Diffusion of Neapolitan painting,,,Concept,[Category Fix] 艺术史研究主题。,,,No results found
Diocletian's Palace,Q322287,Q322287,Place,[Validation] 斯普利特古迹 (Adam测绘)。,Diocletian's Palace,ancient palace built for the Roman emperor Diocletian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Diogenes Searching for an Honest Man,Q75194631,Q114719834,Work,[Validation] 绘画主题 (Castiglione等)。,Diogenes searching for an honest man,painting studio of Jacques Jordaens,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Dionisio Dolfin,Q3708533,Q3708533,Person,[Validation] 乌迪内大主教/Aquileia宗主教。,Dionisio Dolfin,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Dirk Helmbreker,,Q576572,Person,[OCR Fix] 名字被错误拆分（Helm Breaker -> Helmbreker），佛兰芒画家。 | [Reconstruction] 佛兰芒画家。,Dirck Helmbreker,Dutch painter (1633-1696),"High Confidence - Score: 116.8 (Sim: 0.97, Cat: Match)"
Dirk van Ameyden,,Q3983865,Person,[Validation] 尼德兰/罗马学者 (Dirk van Ameyden)。,Dirk Ameyden,Italian poet and historian,"Medium Confidence - Score: 85.7 (Sim: 0.86, Cat: Neutral)"
